Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,19,1.5707963267948966,4.386558294086915,0.36557748305523313,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 3]",49.4,288.7476782798767
case2,18,1.5707963267948966,0.4598064414758826,3.9177687649273802,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1]",46.800000000000004,22.123695373535156
case3,18,1.5707963267948966,4.351104406923426,1.1537206822867894,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,75.08880710601807
case4,18,1.5707963267948966,2.8974768219968685,5.486995412552035,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3]",46.800000000000004,24.441444396972656
case5,18,1.5707963267948966,1.3440229915797959,1.5431001589407332,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3]",46.800000000000004,20.494376182556152
case6,19,1.5707963267948966,1.4663350965614592,0.5406058627311515,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 1, 2]",49.4,64.66179966926575
case7,18,1.5707963267948966,1.6253306741222735,1.6746496192194094,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3]",46.800000000000004,18.83937668800354
case8,18,1.5707963267948966,4.158302013331125,5.292110601650851,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3]",46.800000000000004,28.039960145950317
case9,18,1.5707963267948966,2.0127027787989564,2.2214926256666065,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4]",46.800000000000004,28.723849534988403
case10,18,1.5707963267948966,4.930690506737823,2.121669727525321,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4]",46.800000000000004,27.756993770599365
case11,18,1.5707963267948966,1.0741478766693877,2.561829280394128,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 1, 3, 3, 2, 2]",46.800000000000004,67.53943872451782
case12,18,1.5707963267948966,5.70638979918457,3.15344951766961,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2]",46.800000000000004,18.712990760803223
case13,18,1.5707963267948966,5.67779499302162,0.12101886330081212,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1]",46.800000000000004,18.811309814453125
case14,18,1.5707963267948966,1.495043637109146,1.0146366717942514,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,75.91949081420898
case15,19,1.5707963267948966,5.821972254026023,4.894938044374311,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,459.84188985824585
case16,18,1.5707963267948966,1.4615552374721668,0.6489744616508797,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2]",46.800000000000004,27.543334245681763
case17,18,1.5707963267948966,1.6207275763754785,4.321854391881442,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 1]",46.800000000000004,87.26227188110352
case18,18,1.5707963267948966,1.4925948903988602,5.60637288778845,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3]",46.800000000000004,21.940226554870605
case19,18,1.5707963267948966,2.160558866385208,4.802513984001073,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 4]",46.800000000000004,17.884033203125
 case20,1,1.5707963267948966,4.163749987239756,5.98510264060748,2.6,[-1],2.6,2872.019693136215
case21,18,1.5707963267948966,0.7631522849006238,0.03175586345000712,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1]",46.800000000000004,18.176886796951294
case22,1,1.5707963267948966,1.1746890761154176,5.940120023609379,2.6,[-1],2.6,2750.8027789592743
case23,19,1.5707963267948966,5.324392549190811,2.063940229384803,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 2, 1, 1, 1, 3, 2, 2]",49.4,336.9569766521454
case24,18,1.5707963267948966,0.49204668755523046,3.8315715215461905,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1]",46.800000000000004,30.515273809432983
case25,18,1.5707963267948966,0.6747572477510935,0.7306689175180088,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2]",46.800000000000004,30.089429140090942
case26,19,1.5707963267948966,1.6324936558552647,3.45077559947361,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 3, 3, 2, 2, 4]",49.4,286.32551312446594
case27,18,1.5707963267948966,6.266506867708542,0.8866485950818781,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2]",46.800000000000004,22.13870668411255
case28,1,1.5707963267948966,1.6815498815614502,4.4537688948542,2.6,[-1],2.6,2720.2643492221832
case29,18,1.5707963267948966,2.967649854179625,6.076952942571356,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1]",46.800000000000004,21.307103395462036
