Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,19,1.249930029546327,2.281876911223835,5.045666375296463,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 4, 4, 0, 0]",49.4,11409.870960950851
case2,10,1.0612861477001037,4.316803380588687,3.974032967508218,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",26.0,3.345925807952881
case3,12,1.0289498354087587,5.13449142742029,5.196513545250081,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0]",31.200000000000003,14.906616449356079
case4,18,1.2925659882651168,1.0263194787479553,5.943285908715892,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 4, 4, 1, 1, 2]",46.800000000000004,588.2236969470978
case5,1,1.1621135343097073,5.606139260263218,5.185157080178596,2.6,[-1],2.6,16160.243871927261
case6,18,1.2591950161406247,6.0562464297206295,3.025779423852443,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 1]",46.800000000000004,884.6881728172302
case7,12,1.0608176383207004,5.832536289055989,2.0763749802203186,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",31.200000000000003,7.772749185562134
case8,18,1.2485433032076347,1.6421512926927972,0.6358596258283177,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 4, 4, 1, 1]",46.800000000000004,1572.9520814418793
case9,1,1.0905060697435485,3.069241990245314,2.590213030980431,2.6,[-1],2.6,17863.507828235626
case10,18,1.2601606282254056,0.07132630964696414,1.7555243435169912,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 1, 2, 2, 4]",46.800000000000004,846.8419506549835
case11,1,1.9643050881559465,5.341346744840164,1.213258566183475,2.6,[-1],2.6,19449.530665397644
case12,18,1.806971798625246,4.682701819251418,3.9306534960998656,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,6.751436471939087
case13,1,1.8373904315931642,2.1183800267293917,0.33111806136856625,2.6,[-1],2.6,17329.71133828163
case14,1,1.1096729223613526,5.382446404847037,3.384516256753711,2.6,[-1],2.6,20479.3678483963
case15,26,1.960222904872194,2.113395912869427,4.021997974176536,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 0, 2, 2, 2]",67.60000000000001,4337.194493293762
case16,18,1.171480485343676,6.193366219893833,2.3801659900428382,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 4, 1, 3, 0]",46.800000000000004,5100.188221693039
case17,10,1.0452847553835098,3.1133114455338027,5.386953878834202,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",26.0,3.14935302734375
case18,18,1.0767022986021382,0.12738995028342393,5.8664624381047386,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2, 4, 1, 3, 3, 3]",46.800000000000004,18846.630960464478
case19,18,1.1972718505147102,5.511328126619357,0.7159058209979894,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 4, 2, 1, 0, 1]",46.800000000000004,3079.111812353134
case20,1,1.8404738865031993,3.7252221630851254,5.700428675824424,2.6,[-1],2.6,19042.597055196762
case21,26,2.0513953860338843,4.7236337316223445,1.3840074703162308,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 2, 3, 4]",67.60000000000001,892.8438453674316
case22,26,1.9523316636194998,2.646819566016182,2.2070848391210633,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 2, 3, 2, 4, 4]",67.60000000000001,3916.226306915283
case23,1,1.8057779468667496,0.34269321377540524,4.274511544072184,2.6,[-1],2.6,17357.856423139572
case24,12,1.0799849682220184,4.00120399673717,2.030733302472378,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",31.200000000000003,5.3909056186676025
case25,12,1.0535590665841392,1.8938517082246706,2.022129090672549,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",31.200000000000003,9.342503070831299
case26,18,1.2596839540884928,5.276579247464782,1.4858297405483447,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 2, 0, 0, 3]",46.800000000000004,920.2784433364868
case27,26,2.007365125232856,1.1103620649544574,4.590196414980509,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 2, 1, 4, 3]",67.60000000000001,1287.1829071044922
case28,1,1.1067870916687843,0.07767355874085095,0.4175864952033272,2.6,[-1],2.6,20613.240001678467
case29,18,1.184129136881401,2.325634568217804,6.198090153900187,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 2, 1, 2, 0, 3]",46.800000000000004,9892.440191030502
case30,18,1.2720015318605444,2.0550973343372734,4.740113078939051,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 1, 4, 2, 0]",46.800000000000004,749.3606848716736
case31,10,1.0350787228109566,2.8661956293350843,4.788633066976074,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",26.0,2.8494880199432373
case32,19,1.784145079717406,0.8115233218284874,1.6745978560966444,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",49.4,8.179386138916016
case33,18,1.2247390414416954,3.8999741408984154,1.1275861009541959,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 1, 1, 1, 1, 1]",46.800000000000004,2412.343774795532
case34,18,1.2205020572651804,3.7061244936145576,1.1725626436567371,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 1, 1, 0, 3, 4]",46.800000000000004,2222.856413125992
case35,26,1.8016477615647073,3.0506433413227425,1.2986057200502006,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 2, 2, 4]",67.60000000000001,2835.7051963806152
