Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,1,1.9514322216445883,2.2605846445526567,2.6,[-1],2.6,3045.645298242569
case2,18,1.4002994600001395,1.0195158319749604,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 1, 0, 0]",46.800000000000004,160.15594911575317
case3,10,0.8376638798418208,3.465322010622265,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 0]",26.0,6.263463497161865
case4,18,1.6909412787670206,0.40757995764105864,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.800000000000004,8.85917854309082
case5,2,0.3275811345674031,2.9626527807020224,2.6,"[1, 3]",5.2,0.05643939971923828
case6,1,1.976670634758677,6.2226704796339645,2.6,[-1],2.6,2954.7801365852356
case7,18,1.375133688037052,3.6642117718168548,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 1, 3, 2]",46.800000000000004,326.9431345462799
case8,18,1.6498061505612436,4.623803966479803,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",46.800000000000004,11.236092805862427
case9,2,0.3207321178201767,2.0705885886759656,2.6,"[1, 3]",5.2,0.0288236141204834
case10,10,0.6631017480993301,3.514381649603692,2.6,"[1, 3, 3, 2, 2, 4, 4, 2, 1, 0]",26.0,35.872061252593994
case11,10,0.8557455778227328,4.558405107014423,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 0]",26.0,5.772691488265991
case12,10,0.6666854313921522,3.1161351213638,2.6,"[1, 3, 3, 2, 2, 4, 4, 2, 1, 0]",26.0,37.08343267440796
case13,10,0.7106800362720813,4.183763267276211,2.6,"[1, 3, 3, 2, 2, 4, 4, 3, 1, 0]",26.0,24.963798999786377
case14,1,1.153980962700753,0.5169990609536802,2.6,[-1],2.6,2960.85103392601
case15,18,1.4213043628524242,1.0539795453088097,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 0, 3, 1]",46.800000000000004,121.0085985660553
case16,9,0.582528829317466,3.2379517686811106,2.6,"[1, 3, 3, 2, 4, 1, 1, 0, 3]",23.400000000000002,31.474186420440674
case17,10,1.121769456067435,2.5775205219569006,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",26.0,4.292740106582642
case18,18,1.7301453600511858,2.7868392829328967,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.800000000000004,9.202531337738037
case19,1,1.1503743651101423,6.083723727815242,2.6,[-1],2.6,2794.2717888355255
