gate lenght,Theta,Phi,dt,combination,total time,computing time
12,1.72089885,4.693535649,5,"[1, 3, 2, 4, 4, 3, 3, 4, 4, 1, 3, 2]",60,184.7937598
17,2.669071886,2.239702288,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4, 3, 2]",85,282.4333403
6,1.151965045,5.074598684,5,"[2, 4, 1, 3, 2, 4]",30,0.888189077
14,1.936515683,4.354446181,5,"[2, 4, 1, 3, 2, 4, 4, 1, 3, 2, 4, 3, 2, 2]",70,520.2821572
8,0.998062268,4.881698963,5,"[1, 3, 3, 4, 1, 3, 3, 0]",40,44.78889251
8,1.151800829,0.83001981,5,"[2, 4, 4, 1, 3, 2, 4, 1]",40,36.9344511
18,2.753136203,0.777637186,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 1]",90,388.1930635
15,2.536429225,2.738273965,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,35.29279542
6,1.020662266,2.735978051,5,"[3, 2, 2, 4, 1, 3]",30,8.887373209
18,2.819659307,4.569716547,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4, 3, 2, 2]",90,311.9966662
0,0.011653917,6.127908605,5,[],0,0.00200057
9,1.454596249,5.500509983,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4]",45,23.76360393
12,1.896052813,1.685446559,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 0, 3]",60,48.36522317
5,0.874077177,3.358067934,5,"[2, 4, 1, 3, 3]",25,2.446533203
12,2.029525007,1.572762175,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3]",60,16.2425878
15,2.178035942,2.503084464,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1]",75,433.6619246
4,0.683302187,1.44929611,5,"[2, 4, 4, 1]",20,3.215709686
15,2.609360561,2.993831918,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,35.08010483
12,2.02876031,1.673512765,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3]",60,12.21069813
0,0.171472599,3.829525593,5,[],0,0.00200057
12,1.738580338,1.149105975,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,154.4435246
1,0.305799553,2.334256158,5,[3],5,0.014003277
14,2.345677454,4.459240729,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",70,22.33192968
8,1.188291213,4.514222387,5,"[1, 3, 3, 4, 4, 1, 3, 2]",40,31.75201917
5,0.690621679,2.832618498,5,"[2, 4, 4, 1, 3]",25,3.918331385
11,1.601807596,3.035914543,5,"[1, 3, 2, 4, 4, 3, 3, 4, 1, 1, 2]",55,105.3372176
16,2.705897147,4.000176327,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4]",80,114.4750423
6,0.946051727,4.340210098,5,"[2, 4, 4, 1, 3, 2]",30,8.559302568
9,1.440280192,0.029949595,5,"[1, 3, 2, 4, 4, 3, 3, 4, 4]",45,46.46964359
0,0.120149595,3.312850074,5,[],0,0.002000332
19,3.040652188,5.530726718,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 1, 1, 3]",95,297.9213233
11,1.245876813,3.069337354,5,"[1, 3, 2, 4, 4, 1, 3, 4, 1, 3, 1]",55,715.8998029
16,2.689579629,2.133208093,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4, 1]",80,117.9419119
12,1.830429715,1.209054491,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,115.6925771
3,0.650348824,2.346404458,5,"[4, 1, 3]",15,0.903206825
6,1.084909794,5.188575899,5,"[2, 4, 1, 3, 2, 4]",30,1.923425436
8,1.201576897,1.554347643,5,"[2, 4, 1, 3, 3, 2, 1, 3]",40,27.73549819
11,2.033290204,3.335952756,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",55,4.898075104
10,1.557997952,1.519241718,5,"[1, 3, 2, 4, 4, 3, 3, 4, 1, 3]",50,59.03140759
9,1.623966339,3.415634943,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.69181633
9,1.255872494,5.940578966,5,"[1, 3, 2, 2, 4, 1, 3, 4, 4]",45,58.74698853
