Theta,Phi
9.84E-05,2.334113484
0.00044984,6.093487824
0.000901852,0.279935164
0.000970747,3.170579813
0.001498369,3.498069108
0.001515831,5.621782358
0.002116701,4.455933165
0.00295924,2.24922141
0.002964641,2.756926032
0.00387013,5.73093307
0.004182446,1.280314158
0.004399571,4.436745408
0.004542455,1.638642868
0.004902639,2.497470117
0.005236202,4.024029923
0.00585309,0.93429921
0.005878168,4.085371717
0.006158597,4.160397524
0.006620614,5.990005032
0.006635828,3.772231798
0.006757515,5.438212383
0.007002594,5.02165135
0.007079753,2.163700004
0.007321,0.76589481
0.007563216,2.878858673
0.007595523,5.100833714
0.00782655,4.7448029
0.007955589,2.16523654
0.008108783,4.337680342
0.008135711,3.75372053
0.008152358,0.294783072
0.008516911,5.85461972
0.009675646,5.987972865
0.009777755,5.74949506
0.009890214,0.094992265
0.009976004,0.823030247
0.01008205,4.612132826
0.010458224,0.972725754
0.010546249,2.265347933
0.010585752,3.11831868
0.01092567,2.837569576
0.010971446,2.435495828
0.01139211,3.39278825
0.012350794,3.25218814
0.012676344,4.004320085
0.013071818,4.454113694
0.01310012,3.293571502
0.013486949,5.985422565
0.013625775,1.617204554
0.013686306,2.757849953
0.013725816,2.417986876
0.013860554,5.067184188
0.013891856,5.53929083
0.01401658,0.646784943
0.014692194,3.691012729
0.014804083,3.147713895
0.014894452,0.44521876
0.014903301,5.378673346
0.014940264,3.830871677
0.015076485,5.936639827
0.015282852,4.098536415
0.015905608,1.968720082
0.016091023,0.607484443
0.0161352,2.40848835
0.01635914,2.133892489
0.016533484,2.273766079
0.016658408,4.874883629
0.016748264,5.342647864
0.016821012,0.361850242
0.016847179,5.94113093
0.01698248,4.776743884
0.017238387,3.436532776
0.017486901,4.131367735
0.017594635,1.131315851
0.017805801,2.30560444
0.017831865,0.483339149
0.01792527,5.408663422
0.017984648,6.264989392
0.018046035,4.507282544
0.018223748,3.927317797
0.018549429,2.438129564
0.018877123,2.191727465
0.018966103,5.846220674
0.020150228,3.72666694
0.020172045,3.979618937
0.02035795,4.586483085
0.020388285,5.683578066
0.020397491,1.203602367
0.020605503,2.970082336
0.020672,4.5226423
0.02077999,5.47670358
0.020792301,0.740131997
0.021119724,3.46573688
0.021361925,5.328280497
0.0216659,5.62555258
0.02173576,3.319080308
0.022142065,6.06901452
0.022486886,2.662854001
0.02261366,4.06054511
0.022676218,5.709539032
0.022877421,1.108453131
0.023185556,1.319543071
0.02320797,2.37808731
0.023337726,1.911223202
0.023530997,5.401721531
0.023590055,1.306463245
0.023639821,4.627977824
0.02364408,6.25572723
0.023685565,3.431579447
0.023929742,1.445217544
0.023931727,1.160150896
0.023956022,0.090183211
0.023993915,3.4279475
0.024120687,4.438973555
0.024871733,5.717793467
0.02491308,5.147317733
0.025250613,1.255665977
0.025859159,1.799833115
0.025946732,0.581670342
0.025948242,0.441398436
0.02622487,3.97975062
0.02672218,5.40807569
0.026908649,3.585037994
0.0270084,4.573699656
0.027196159,1.65787469
0.027240265,3.680619964
0.02748212,0.838347988
0.027614825,2.439414674
0.027639122,5.623649522
0.027688326,4.639582501
0.027714388,3.718735024
0.02785061,0.11134489
0.02796573,1.340335766
0.02799512,3.43024383
0.02846784,0.35683459
0.028612982,3.275602072
0.028887412,0.316891895
0.028939815,0.887836864
0.02909259,2.69928623
0.029214528,4.306178211
0.029552988,1.886535437
0.029804817,2.358895842
0.029845216,0.327228548
0.029916112,2.67123216
0.03009076,2.29628074
0.030117017,5.634947995
0.030227008,3.498917895
0.030258496,0.485645068
0.030269315,0.100776253
0.030324176,3.274610345
0.030392481,2.773550938
0.030680267,6.067610258
0.031054956,1.044716206
0.031149573,5.24990355
0.03134292,1.0114376
0.031561048,4.621088614
0.0317093,4.46804775
0.031850157,4.894248965
0.031999986,4.293868597
0.032058209,3.970581982
0.03221499,4.41328658
0.032245758,5.244328664
0.032249669,1.943158515
0.032785525,5.80288594
0.0330419,2.56780957
0.033176043,0.852532283
0.033409608,3.870611209
0.03381639,6.15084448
0.034072994,1.8320405
0.034202928,1.747542589
0.034206805,5.344564893
0.03473267,2.44023665
0.03499738,3.99453785
0.0353302,4.04282711
0.036068868,5.421328699
0.03613102,4.37792266
0.036191599,3.732036595
0.03619834,4.00505812
0.036229873,5.29130197
0.036427356,3.16759665
0.03672494,3.81055593
0.037622415,5.457969841
0.037793847,3.716004593
0.03838474,1.0863032
0.038700895,4.85690499
0.038714658,0.656167187
0.038908776,5.067586756
0.039051757,4.451855217
0.0392761,0.57389807
0.039415102,4.086626919
0.03978803,5.497811562
0.040389694,4.547861213
0.040393846,2.675941097
0.040525046,2.171563669
0.040590568,0.180717459
0.04067298,1.46092432
0.04085712,0.098276007
0.041022972,0.191623822
0.041165348,2.297835559
0.04160123,6.03195271
0.042285625,3.640396795
0.042435732,1.966666393
0.042545641,3.517370821
0.042742028,1.460131694
0.042864873,5.176611556
0.042953971,5.54200958
0.043302561,1.049493572
0.043454916,0.162558601
0.043598201,2.960358773
0.04371051,1.205730292
0.043735469,0.075256092
0.043835661,3.172613704
0.044097693,0.606581016
0.044131238,2.197024708
0.044672873,2.562210195
0.04478894,5.312359199
0.044852813,6.068805952
0.045462201,4.87795086
0.045880774,1.319149609
0.04589336,3.97813951
0.04611672,2.311515451
0.046214528,2.716655983
0.046281202,5.18819721
0.046589837,5.547858138
0.046717631,4.683716042
0.04671816,6.23547562
0.04684893,5.23768663
0.046892818,0.861702453
0.046930996,3.713305365
0.047146256,0.346398633
0.047223075,1.225639165
0.04785233,0.60780991
0.04796911,0.2914138
0.04821776,4.84291194
0.048846175,0.954532358
0.048888732,5.754752537
0.049075852,3.40014942
0.049128274,2.575960599
0.049185209,2.427308295
0.049257161,5.012252299
0.0492976,0.24064954
0.049421318,0.851698005
0.049599527,2.177366011
0.049960051,1.082312965
0.050293012,3.274841713
0.050481992,0.198314968
0.050588177,1.833491329
0.050644569,6.213830021
0.051633543,2.371798693
0.05209052,5.52877206
0.052152709,3.73934679
0.052220904,1.94328737
0.052225063,3.01771066
0.052675978,3.830701681
0.052757984,5.658758342
0.052926154,2.427815344
0.052982692,1.718007407
0.05321769,0.96382302
0.053294572,1.29277475
0.053297729,1.549414214
0.05346224,1.85003554
0.053544688,5.184442292
0.053703665,0.923787023
0.053949331,3.238073296
0.054068802,3.768284062
0.05429635,1.72120313
0.054662875,2.97484681
0.054718111,1.381761189
0.05501005,0.90846646
0.05524095,3.27844711
0.055515818,4.703876299
0.05558149,5.08446166
0.055716619,0.234847448
0.055973295,0.735042671
0.056009997,3.530094854
0.05607118,3.5850108
0.05639295,3.8583663
0.056769402,3.268228711
0.056774798,1.804240061
0.0567776,1.64295843
0.057017597,2.379393466
0.057660851,4.332158897
0.0578277,5.283014297
0.05788954,0.18375822
0.057919317,2.027312414
0.058732288,3.957179436
0.058789201,4.082303249
0.058820516,5.107371737
0.058868174,4.191996194
0.059456155,0.577723985
0.05950909,3.71570627
0.05962189,6.064997762
0.05965753,3.55734433
