gate length,Theta,Phi,dt,combination,total time,computing time
10,0.798858148,5.669890081,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 4, 0]",26,13.78847241
10,0.879160966,5.533087533,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",26,7.272540092
2,0.24748273,0.314159696,2.6,"[4, 1]",5.2,0.04668045
33,2.900953066,3.89559077,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3]",85.8,207.9722989
3,0.482694388,3.817209546,2.6,"[3, 2, 2]",7.8,0.251133442
26,2.506502062,0.948417273,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",67.6,28.44453669
10,1.082084315,3.22235428,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",26,6.218439579
10,0.780159985,1.202111475,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 3, 3]",26,31.54500508
0,0.184773852,0.873693626,2.6,[],0,0
3,0.419240884,2.270637285,2.6,"[1, 3, 3]",7.8,0.268112659
34,2.887260093,3.288221222,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 1, 0]",88.4,490.3136172
32,2.942052292,5.205349443,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",83.2,52.72881174
1,0.214581395,4.426049592,2.6,[2],2.6,0.015652657
1,0.261700083,2.176057974,2.6,[3],2.6,0.015626431
0,0.158995289,6.059446923,2.6,[],0,0
10,0.919455535,4.005680738,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",26,6.701941729
1,1.797056476,2.525360781,2.6,[-1],2.6,4683.361897
1,2.491549879,2.614308655,2.6,[-1],2.6,4316.096053
19,1.410169367,3.361579841,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4]",49.4,994.090507
18,1.343255859,3.972737736,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 1, 4]",46.8,618.5381317
27,2.212109985,0.258912935,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 4, 2, 4]",70.2,724.9131577
26,2.543529394,2.545263167,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",67.6,27.10243392
10,0.584838591,0.612193775,2.6,"[4, 1, 1, 3, 3, 2, 0, 1, 1, 0]",26,74.51282883
1,1.21433588,5.23118474,2.6,[-1],2.6,4823.649945
1,1.963299699,1.13695065,2.6,[-1],2.6,5193.892772
26,2.220087601,3.906857986,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 4]",67.6,198.0769224
18,1.560394311,5.818149849,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,119.0548937
1,1.211176527,2.274602423,2.6,[-1],2.6,4762.221124
26,2.11543998,5.652118253,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 4, 2]",67.6,602.7326064
32,3.136717991,2.737366504,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",83.2,46.1549449
18,1.502648763,3.197317765,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 1]",46.8,69.39160752
27,2.270462046,0.079322675,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 0, 4]",70.2,287.9744427
0,0.027001036,5.016802844,2.6,[],0,0
3,0.394748808,3.7941368,2.6,"[3, 2, 2]",7.8,0.251421213
1,2.00149303,0.163738959,2.6,[-1],2.6,4832.418796
33,2.668323859,2.826566366,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 0, 4, 3]",85.8,2321.047603
18,1.344861861,4.407254826,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 3, 3, 3, 3, 4]",46.8,711.428401
26,2.559975637,4.444184364,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.6,26.88634467
1,1.711218194,2.608604792,2.6,[-1],2.6,4996.130477
1,1.154316885,0.114023123,2.6,[-1],2.6,4589.797696
18,1.229199366,0.188290812,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 3, 1, 4, 3]",46.8,3523.391346
5,0.608517999,1.454188432,2.6,"[4, 4, 1, 1, 3]",13,3.826913595
18,1.45230654,3.890180478,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 0, 0]",46.8,136.8651524
26,2.119371607,3.646386738,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2, 0, 4]",67.6,551.9691896
18,1.283726598,0.941735609,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 3]",46.8,2498.89387
18,1.804607883,3.82019521,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.8,14.75405502
18,1.263159112,3.049001294,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 0, 2, 0]",46.8,1792.43453
18,1.514735801,5.583461548,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 1]",46.8,59.01436043
26,2.588588918,2.905722193,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",67.6,27.4688921
4,0.497659216,4.110096638,2.6,"[3, 3, 2, 2]",10.4,1.301222563
32,2.946855707,0.448536036,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",83.2,52.55123115
27,2.302960136,0.41577099,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 1, 4]",70.2,251.1609616
1,2.072673464,4.898639309,2.6,[-1],2.6,4866.511553
1,1.127876113,0.972375794,2.6,[-1],2.6,4443.400556
26,2.362379934,5.814504547,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",67.6,52.44094253
1,1.911755826,2.330257416,2.6,[-1],2.6,4413.584184
1,1.874220663,1.087882551,2.6,[-1],2.6,4599.586746
10,0.657455297,3.138207685,2.6,"[3, 2, 2, 4, 4, 1, 1, 2, 0, 3]",26,57.72565579
4,0.546544133,5.287709791,2.6,"[2, 2, 4, 4]",10.4,2.085156441
1,1.112359323,4.957770226,2.6,[-1],2.6,4811.710425
10,0.846849129,4.825466633,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 0]",26,9.344907045
33,2.77354186,4.096742544,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3]",85.8,723.445194
2,0.377479697,4.710290219,2.6,"[2, 4]",5.2,0.063144922
26,2.397607548,5.486188974,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",67.6,42.25007057
1,1.755417866,2.796278612,2.6,[-1],2.6,4913.165108
32,3.030715716,3.881219187,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3]",83.2,53.69771338
1,0.227910605,1.251603879,2.6,[1],2.6,0.015736341
5,0.632988508,3.655496871,2.6,"[1, 3, 3, 2, 2]",13,3.619085789
11,0.849259695,3.532710937,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2]",28.6,36.82932258
0,0.133260979,1.370866462,2.6,[],0,0
0,0.184739645,4.665332051,2.6,[],0,0
32,3.035633233,5.152857969,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",83.2,52.71085453
1,1.208177583,1.233483431,2.6,[-1],2.6,4885.781685
10,0.938030377,2.544982418,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",26,6.141577244
1,2.573552223,5.105588479,2.6,[-1],2.6,4313.666247
2,0.325484106,3.44903043,2.6,"[3, 2]",5.2,0.063029051
11,0.77313454,3.419489062,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 2, 3, 4]",28.6,79.73135352
2,0.250034374,0.187407847,2.6,"[4, 1]",5.2,0.063295126
0,0.178145579,4.440539616,2.6,[],0,0
27,2.16197761,1.828853918,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 0, 4, 1]",70.2,1382.214156
10,0.73262916,3.791937814,2.6,"[3, 2, 2, 4, 4, 1, 3, 2, 2, 2]",26,41.47371435
4,0.541095007,2.251045466,2.6,"[1, 1, 3, 3]",10.4,2.857082129
0,0.198646105,6.211003305,2.6,[],0,0
10,1.112630653,0.871774353,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",26,6.118859529
18,1.368019037,1.446444106,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 4, 4, 1]",46.8,547.9207103
10,0.878164183,1.516323992,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",26,8.963644981
18,1.568092867,4.793260789,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2]",46.8,33.18981004
18,1.59176211,3.015314246,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0]",46.8,30.54498553
0,0.054948815,5.285049418,2.6,[],0,0
1,1.668884866,2.830453334,2.6,[-1],2.6,4621.902013
10,0.933625569,3.130847167,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",26,5.781504869
