gate length,Theta,Phi,dt,combination,total time,computing time
1,1.153371652,3.578347351,2.6,[-1],2.6,4300.542929
0,0.189455305,1.029516702,2.6,[],0,0.000999451
0,0.094307996,6.223430126,2.6,[],0,0.001000643
18,1.500299573,5.273400005,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 0]",46.8,73.40441775
27,2.497816517,4.692279078,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",70.2,34.46438837
1,1.662822084,2.837042955,2.6,[-1],2.6,3220.299944
0,0.008499935,1.571110548,2.6,[],0,0
32,3.141499253,2.709791058,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",83.2,32.13260674
18,1.45779351,4.057747386,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 0]",46.8,86.93715096
10,0.704646817,4.775808005,2.6,"[2, 4, 4, 1, 1, 3, 3, 3, 0, 0]",26,28.99026895
26,2.547453833,5.257002085,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",67.6,17.91205835
5,0.548558832,1.207642208,2.6,"[4, 4, 1, 1, 1]",13,4.105278254
3,0.407062605,1.804094691,2.6,"[1, 1, 3]",7.8,0.234835148
18,1.618815499,3.963906658,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",46.8,15.85760641
26,2.089636696,0.543294176,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 2]",67.6,640.6226046
1,2.071139195,3.202096274,2.6,[-1],2.6,3290.671458
1,1.142526778,3.419881798,2.6,[-1],2.6,3143.843338
27,2.322772125,5.104618556,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 3]",70.2,126.1702628
11,1.090300235,3.751429263,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",28.6,4.852415323
26,2.101790924,2.918122421,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 3, 2, 4]",67.6,683.1298695
0,0.061855123,0.881307658,2.6,[],0,0
27,2.435899275,4.237725985,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",70.2,49.61103797
18,1.743159399,4.777116738,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,9.884628534
1,1.807997337,4.134880975,2.6,[-1],2.6,3194.332128
26,2.38174226,5.937273058,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0]",67.6,43.22621417
11,0.633979413,0.341388348,2.6,"[4, 4, 1, 1, 3, 2, 2, 4, 2, 3, 4]",28.6,456.1589539
18,1.315716222,4.868197856,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 0, 1]",46.8,690.8668919
12,0.892027565,3.603956801,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 3]",31.2,48.63528776
27,2.417963686,3.149994599,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3]",70.2,46.32414341
12,0.91721526,5.197231324,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 2]",31.2,41.62777114
27,2.249817399,0.379330902,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 0, 3]",70.2,299.5368028
33,2.738176085,4.183154114,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 4, 3, 3]",85.8,664.8873515
33,2.967445741,4.878242687,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,104.9161329
18,1.471606916,4.763205978,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2]",46.8,59.68311667
18,1.481083464,0.971536781,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 0, 3]",46.8,59.70640683
0,0.047968607,0.323014896,2.6,[],0,0
34,2.732227134,3.348475732,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 2, 1, 1, 0]",88.4,1332.56638
33,2.887917007,3.187771931,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",85.8,186.3507905
1,1.913569055,3.663961624,2.6,[-1],2.6,2932.891285
5,0.589763796,1.224890831,2.6,"[4, 4, 1, 1, 1]",13,4.217646837
0,0.172169304,4.92722041,2.6,[],0,0
26,2.43151251,3.620804089,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",67.6,19.64235044
3,0.433808562,4.023318199,2.6,"[3, 2, 2]",7.8,0.281834126
27,2.434607441,5.013430353,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",70.2,47.13798547
32,3.076985094,5.027113813,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",83.2,35.73406172
27,2.615876126,4.774751907,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",70.2,18.69621968
27,2.407199308,3.420537887,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",70.2,81.2000668
33,2.812109083,5.755275761,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2]",85.8,418.7470071
26,2.179222914,0.940771417,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4, 3]",67.6,229.4383495
4,0.465062307,0.391302135,2.6,"[2, 4, 4, 1]",10.4,0.893243551
10,0.900799061,5.457552412,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",26,6.192675829
1,1.508293663,1.282285788,2.6,[-1],2.6,3343.041366
26,2.011042146,3.197030144,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 2, 2, 3]",67.6,1268.168761
1,1.125714331,3.293362722,2.6,[-1],2.6,3394.390901
0,0.075596877,2.563547666,2.6,[],0,0
1,1.951516848,0.893797958,2.6,[-1],2.6,3267.249656
27,2.386379045,3.425923994,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 4]",70.2,91.11981487
0,0.088762116,4.575583858,2.6,[],0,0
18,1.490105766,5.40655282,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 1]",46.8,64.85012317
18,1.6372705,2.68633444,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.8,102.3329175
