gate length,Theta,Phi,dt,combination,total time,computing time
0,0.184773852,0.873693626,2.6,[],0,0
0,0.158995289,6.059446923,2.6,[],0,0
0,0.027001036,5.016802844,2.6,[],0,0
0,0.133260979,1.370866462,2.6,[],0,0
0,0.184739645,4.665332051,2.6,[],0,0
0,0.178145579,4.440539616,2.6,[],0,0
0,0.198646105,6.211003305,2.6,[],0,0
0,0.054948815,5.285049418,2.6,[],0,0
0,0.040927807,5.066214991,2.6,[],0,0
0,0.178738038,4.501467986,2.6,[],0,0
0,0.183590528,4.389155306,2.6,[],0,0
0,0.053450577,3.190867737,2.6,[],0,0
0,0.132305614,2.837625567,2.6,[],0,0
0,0.157034405,5.497867647,2.6,[],0,0
0,0.014885232,3.576579032,2.6,[],0,0
0,0.134155282,4.737855235,2.6,[],0,0
0,0.187919097,0.489562328,2.6,[],0,0
0,0.006516118,1.656122786,2.6,[],0,0
0,0.157058004,3.178407138,2.6,[],0,0
0,0.026527274,4.548102005,2.6,[],0,0
0,0.055957883,5.108210162,2.6,[],0,0
0,0.056502703,4.168801553,2.6,[],0,0
0,0.12010522,3.810220048,2.6,[],0,0
0,0.034482106,4.519358663,2.6,[],0,0
0,0.021574224,1.49752475,2.6,[],0,0
0,0.103459092,0.103959701,2.6,[],0,0
0,0.131729362,3.487440693,2.6,[],0,0
0,0.170290316,1.542262514,2.6,[],0,0
0,0.129220143,2.753695724,2.6,[],0,0
0,0.189776402,2.59345707,2.6,[],0,0
0,0.116147766,2.219479958,2.6,[],0,0
0,0.114777204,1.494306306,2.6,[],0,0
0,0.158961436,1.355265936,2.6,[],0,0
0,0.187657083,5.597590962,2.6,[],0,0
0,0.02687233,5.796661082,2.6,[],0,0
0,0.026026877,1.411272287,2.6,[],0,0
0,0.023995355,0.010569529,2.6,[],0,0
0,0.096960882,0.552304604,2.6,[],0,0
0,0.01605247,5.261014473,2.6,[],0,0
0,0.053398383,1.216953592,2.6,[],0,0
0,0.058054484,6.037270061,2.6,[],0,0
0,0.042057968,5.976887535,2.6,[],0,0
0,0.072546659,5.680906535,2.6,[],0,0
0,0.122220981,4.719093332,2.6,[],0,0
0,0.00046638,2.599058342,2.6,[],0,0
0,0.071725087,1.764483528,2.6,[],0,0
0,0.064037342,4.016905989,2.6,[],0,0.015656471
0,0.165132096,1.782741939,2.6,[],0,0
0,0.129624986,1.790831284,2.6,[],0,0
0,0.089829016,3.337735062,2.6,[],0,0
0,0.199712677,1.855471568,2.6,[],0,0
0,0.017176314,5.815935867,2.6,[],0,0
0,0.152852922,1.437939033,2.6,[],0,0
0,0.080496048,4.459055475,2.6,[],0,0
0,0.131317825,2.598399728,2.6,[],0,0
0,0.134419059,0.75661818,2.6,[],0,0.015658855
0,0.073732242,3.373178923,2.6,[],0,0
0,0.006584057,4.045460772,2.6,[],0,0
0,0.101494582,1.153769369,2.6,[],0,0
0,0.016153025,4.947448661,2.6,[],0,0
0,0.062890829,6.179397982,2.6,[],0,0.016056776
0,0.12655657,1.899512089,2.6,[],0,0
