Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,33,3.0719139952287953,1.5961820835882479,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",85.8,602.7045016288757
case2,18,1.5116435156474233,4.5085786982607745,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 2]",46.800000000000004,288.83661127090454
case3,27,2.622469720036268,4.6877134796474875,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",70.2,95.98788785934448
case4,2,0.27877307656618067,2.6710168065654813,2.6,"[3, 3]",5.2,0.41791558265686035
case5,18,1.1254684259982033,4.219050403428344,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 0, 2, 4, 0]",46.800000000000004,53335.219933986664
case6,11,0.6936678093902692,0.6784421880768808,2.6,"[4, 1, 1, 3, 3, 2, 2, 2, 2, 0, 0]",28.6,744.8139822483063
case7,26,2.558873243530269,4.5439657773792925,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.60000000000001,70.3654088973999
case8,4,0.4301981142831886,4.349836938270495,2.6,"[3, 3, 2, 2]",10.4,3.7490499019622803
case9,26,2.301643091993763,2.502895267434235,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 1]",67.60000000000001,241.49710512161255
case10,33,2.8504969432400364,4.139787158006093,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3]",85.8,1091.0190393924713
