Case,gate length,Theta,Phi,dt,combination,total time,computing time
case3,18,1.606410987078687,0.0168640447364032,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1]",46.8,11.551626682281494
case4,26,2.0009127183394217,5.405517356317827,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 0, 2, 1, 0]",67.60000000000001,2155.606008052826
case5,18,1.6492332800443414,0.9984856432092964,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.8,72.18406271934509
case7,18,1.706404434096968,1.3314236200518097,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.8,6.062173366546631
case9,26,2.034875582955048,2.74292307596569,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 4]",67.60000000000001,918.1682884693146
case10,18,1.6532322034232234,5.62497513263461,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",46.8,10.05778455734253
case11,18,1.6080630730192709,5.712554483614529,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,60.08299398422241
case12,18,1.8747497441591252,1.461357194320888,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.8,6.2869508266448975
case2,27,2.003647688949013,4.383771768355,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 4, 1]",70.2,13280.087985754011
case3,27,2.0093934836933034,1.91302818446612,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4, 1]",70.2,12055.72440290451
case4,19,1.76560415470938,1.7191775090454782,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",49.4,7.55522346496582
case5,18,1.7620750848298052,4.669598645394293,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,7.618594646453857
case6,26,1.900804699637919,5.599027804524071,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3, 3, 2, 2]",67.60000000000001,11606.95837187767
case7,18,1.7756695147175323,4.576632190222014,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,6.914292812347412
case9,27,2.0100423664407647,1.9251500873293637,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 0, 3, 2, 2]",70.2,4461.162631511688
case10,19,1.633203350901255,2.047680820278666,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 3, 4, 4, 4, 1, 3, 3]",49.4,206.9740195274353
case11,26,2.002112809584714,2.4446649809974303,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 0, 4, 2]",67.60000000000001,2198.4923400878906
case2,26,1.871613116401046,2.172637006264789,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 4, 1, 0, 3, 2, 0]",67.60000000000001,17494.334443807602
case3,26,2.0623074302023654,3.9542993796865034,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 0, 3, 0]",67.60000000000001,475.2124752998352
case4,18,1.6683392346525296,4.667556283364728,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,5.966229677200317
case6,26,1.960254523790796,6.193462706573002,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2, 4, 1, 2, 4]",67.60000000000001,3899.842352390289
case1,18,1.6624138968845508,3.080208785090942,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",46.8,7.735414743423462
case2,19,1.86016026386544,1.6617113682263642,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",49.4,7.197553396224976
case3,26,2.081173440309798,6.274807660275705,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 0, 4]",67.60000000000001,512.9889693260193
case4,18,1.6442630616771503,1.4567358973986089,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",46.8,11.924986362457275
case5,27,2.031369404942737,0.3278170090766814,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 3, 2, 0, 0]",70.2,10886.368980407717
case6,18,1.6831491776491485,2.160003295712275,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.8,7.601922273635864
case7,18,1.6790928008636352,3.725973176750972,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.8,8.018957614898682
case9,26,2.0695241196486838,5.179773634447365,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 0, 4, 3]",67.60000000000001,660.5624585151672
case10,18,1.6834478835063058,0.8396573865266508,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.8,8.267372608184814
case11,18,1.773071266794259,5.435003874891394,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,7.851808309555054
case12,26,1.9664019790723088,1.1436965403585837,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4]",67.60000000000001,6074.675394058228
case15,18,1.599700682300612,4.693430101043254,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0]",46.8,14.140939235687256
case17,26,1.886592031349498,2.178031286291586,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 1, 0, 3, 2, 2]",67.60000000000001,13008.003860235214
case20,19,1.774083910104358,0.1461390103150634,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",49.4,7.866735696792602
case21,26,1.8611035249266148,5.84812214147441,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 2, 4, 0, 2]",67.60000000000001,20538.40122270584
case22,19,1.593365718252766,2.0051887529637336,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 3, 4, 4, 4, 1, 3, 3]",49.4,305.46318650245667
case23,18,1.876132820036862,3.931404920899519,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.8,8.65337324142456
case24,26,2.027068021853724,5.983247339877671,2.6,"[4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0]",67.60000000000001,434.1586427688599
case26,27,1.997658469123002,0.3069144049540396,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3, 3, 4, 2, 4]",70.2,15566.753951072693
case27,26,1.9289320165227075,5.537036443705095,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 0, 3, 0, 4]",67.60000000000001,4868.818885803223
case28,18,1.7871634109121608,4.751679237336726,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,7.404951810836792
case30,18,1.6338639392867398,4.63565152435729,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",46.8,13.166427612304688
case33,18,1.849553828412844,6.154559831931118,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.8,7.796817779541016
case34,18,1.665107409552279,0.7215364823725934,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.8,13.429517030715942
