Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,18,1.8323964125849466,0.8403779592568849,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,9.432943344116211
case2,4,0.4974919000549871,2.0068440581358944,2.6,"[1, 1, 3, 3]",10.4,1.2003426551818848
case3,33,3.0555433112394534,2.9964438643234996,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1]",85.8,122.2667121887207
case4,33,2.9219053881618082,0.1414683785129954,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,95.82278728485107
case5,27,2.269826294286008,0.027820812618586835,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 0, 4]",70.2,186.25881838798523
case6,32,2.964250604803487,5.801969054932591,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",83.2,64.25145196914673
case7,2,0.32383682015947424,3.425075342302294,2.6,"[3, 2]",5.2,0.04720759391784668
case8,18,1.8244690139906137,0.7796581449109385,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,9.510721206665039
case9,10,1.0347900683986264,4.745042040722536,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",26.0,3.814807653427124
case10,33,2.6730784110433303,1.3929836171359322,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 0, 2, 1]",85.8,1533.7511925697327
case11,2,0.3704730099944955,0.8411700390903238,2.6,"[1, 1]",5.2,0.08226799964904785
case12,10,0.6269821662156546,3.819603939384692,2.6,"[3, 2, 2, 4, 4, 1, 3, 0, 2, 4]",26.0,156.278906583786
case13,26,2.196991106860863,0.7235100221686296,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 0, 3]",67.60000000000001,173.39332032203674
case14,27,2.0976911279540427,0.4017116762479966,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 3, 3]",70.2,8150.194464445114
case15,0,0.011281993731709109,1.8100248564747463,2.6,[],0.0,0.0006008148193359375
case16,26,2.0363563832263196,2.303317430041241,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 4, 2, 3, 0]",67.60000000000001,1321.6816084384918
case17,26,2.2126259778357826,2.9603448508995673,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4]",67.60000000000001,175.79635620117188
case18,26,2.290163646872942,2.5788823286087803,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0]",67.60000000000001,64.40373420715332
case19,26,2.6068204765374445,3.6877743722672354,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",67.60000000000001,18.900129795074463
case20,34,2.860245638270822,3.317759294114069,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 1, 0]",88.4,393.38853573799133
case21,26,2.0347898509178988,4.289362918480272,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 1]",67.60000000000001,1306.7348971366882
case22,26,2.1479732378011245,5.380761219601076,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 1, 4, 0]",67.60000000000001,258.92444372177124
case23,26,2.3953894285714488,3.112651488995407,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",67.60000000000001,22.59601616859436
