Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,1,1.6837414700706197,5.9432949249413065,2.6,[-1],2.6,20366.10764861107
case2,1,1.6993128193987135,1.0660286700267547,2.6,[-1],2.6,20259.883629322052
case3,18,1.6064109870786867,0.01686404473640326,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1]",46.800000000000004,11.551626682281494
case4,26,2.0009127183394217,5.405517356317827,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 0, 2, 1, 0]",67.60000000000001,2155.606008052826
case5,18,1.6492332800443414,0.9984856432092964,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,72.18406271934509
case6,1,1.8487388625516197,4.138960307284083,2.6,[-1],2.6,19083.497955560684
case7,18,1.706404434096968,1.3314236200518095,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.800000000000004,6.062173366546631
case8,1,1.6506698627316683,2.040438819778001,2.6,[-1],2.6,15702.478745222092
case9,26,2.0348755829550473,2.74292307596569,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 4]",67.60000000000001,918.1682884693146
case10,18,1.6532322034232234,5.62497513263461,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",46.800000000000004,10.05778455734253
case11,18,1.6080630730192709,5.712554483614529,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,60.08299398422241
case12,18,1.8747497441591254,1.461357194320888,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.800000000000004,6.2869508266448975
