Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,26,1.9758260749978465,2.859290678997282,2.6,"[3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 3]",67.60000000000001,4340.719437599182
case4,26,2.0331644523737,1.041329993316068,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 0, 4, 4]",67.60000000000001,2502.0155107975006
case5,26,2.038088570127588,5.757507051810899,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 3]",67.60000000000001,1437.5552887916565
case6,18,1.7465262628063392,4.797144861516538,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,11.625061511993408
case8,26,1.9546275057104867,3.62999489184613,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 0, 0, 2, 4, 2]",67.60000000000001,7436.108254432678
case9,18,1.7943692391654749,4.678466866533049,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,11.71759581565857
case11,18,1.7431788041498069,3.91420961870248,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.8,12.38953733444214
case12,18,1.7760049573156962,5.393166910568259,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,12.102142572402954
case14,26,2.0137360966964404,3.1796148419685126,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 0, 0]",67.60000000000001,1489.1440329551697
case15,18,1.6484742183854664,6.1711719291958325,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",46.8,18.42677354812622
case16,19,1.730229986390412,4.884352864308445,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",49.4,15.775588274002075
case17,26,1.9955292394178696,1.033305446270166,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 2, 2, 1]",67.60000000000001,4013.679170370102
case19,18,1.699434281425124,6.224870811957313,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.8,11.678628206253052
case20,18,1.622064135140323,3.1375348499827225,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",46.8,17.9342942237854
case22,18,1.81669253149937,5.414610154119024,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,12.61372137069702
case23,19,1.5991341563634065,3.565869657156078,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 2, 1, 1, 1, 3, 2, 2]",49.4,491.82966208457947
case24,18,1.5807686309642968,4.061227365103214,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4]",46.8,26.88841938972473
case25,26,1.9843865074573703,3.112436593021549,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 4, 3, 4]",67.60000000000001,3748.2909495830536
case27,18,1.7848652262922962,5.546982618988721,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,12.319074392318726
case28,26,2.02960883185584,5.477293613834496,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 4, 3, 1]",67.60000000000001,2692.541570186615
case30,18,1.606036668644167,1.6812593688049835,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3]",46.8,21.36043906211853
case33,18,1.658859147869472,3.026172044573457,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",46.8,18.334388256073
case34,18,1.6975132565828477,1.6674375501705352,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.8,11.866803646087646
case35,18,1.6061815011146314,2.124252502359037,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 3]",46.8,27.037538528442383
case36,18,1.8174172249195009,5.5322415245613845,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,13.023151397705078
case37,26,1.9011546864911093,4.711523444778843,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 4, 4, 4, 2]",67.60000000000001,19536.10723042488
case38,26,2.0566933589340626,5.216216538833008,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 1, 1]",67.60000000000001,1188.7615332603457
case39,18,1.8404589452674012,1.4923951059507596,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.8,11.911142110824583
case42,18,1.7067484238788029,2.92438894731967,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",46.8,11.970465660095217
case45,26,2.08303935292796,0.8211056988180621,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 2, 0, 3]",67.60000000000001,743.7485921382904
case47,18,1.780492727571574,1.6533986461653605,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.8,12.352950811386108
case50,19,1.6156612782047466,3.4574905083822083,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 1, 4, 1, 1, 3, 3, 2]",49.4,484.5911028385162
case51,19,1.7130309387153864,2.0812609754169067,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2]",49.4,21.36683702468872
case52,18,1.6277180228762094,4.54227913428683,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",46.8,20.36901044845581
case53,18,1.7658883371223866,3.768306658700464,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.8,11.971714973449709
case54,26,1.9597445014438448,2.0914637032893624,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 3, 0, 3, 3, 1]",67.60000000000001,7634.769538402557
case56,26,1.8906048748027404,2.444113060356505,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 0, 4, 1, 1]",67.60000000000001,18666.607580423355
case57,20,1.5714884952986663,3.531688571433584,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 0, 4, 1, 3, 3, 2, 2]",52.0,756.4110312461853
case58,26,1.9185839396722009,1.406507603458934,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 0, 1, 0, 3, 0]",67.60000000000001,18738.151708364487
case59,26,2.0876935229034768,2.058945499584122,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 3, 3, 2, 3]",67.60000000000001,868.2827382087708
case60,18,1.7178977997413951,4.617970571340421,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,12.526973247528076
case62,26,2.091998253843535,5.336100778259551,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 4, 0, 1]",67.60000000000001,675.5249083042145
case63,27,2.0457049931316327,4.9689024071678025,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 3, 0]",70.2,6394.714643716812
case64,26,2.07396974374662,1.327923111529376,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 1, 2]",67.60000000000001,1024.9100563526154
case65,26,1.989209947139491,0.6243108704029211,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 1, 4, 3, 3]",67.60000000000001,3544.5117309093475
case66,18,1.8052132787010469,3.148935652489236,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",46.8,12.029284238815308
case70,18,1.742940251355898,4.0601435541150135,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.8,12.381805419921877
