Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,26,2.080431842495108,0.4737743321783741,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 3, 3]",67.60000000000001,541.3262836933136
case2,18,1.635552738478066,2.3929829360007475,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3]",46.8,11.541314601898192
case3,18,1.6416680270967567,4.019028366587733,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",46.8,11.04376745223999
case5,26,1.9261877974065047,2.8999364089416875,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 2, 3, 2, 4]",67.60000000000001,12459.859759569168
case7,26,1.921212176692489,2.474604973126032,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 4, 3, 1]",67.60000000000001,6656.022718906403
case10,19,1.6301838254793397,3.629860689790136,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 2, 1, 1, 1, 3, 2, 2]",49.4,229.5100333690644
case11,27,2.024661611710778,0.2596402404072253,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 3, 2, 2, 4]",70.2,11475.338825464249
case12,26,2.039211634100904,4.695308487160228,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 2, 3]",67.60000000000001,960.3253390789032
case13,19,1.5732173551666082,2.0928668269544657,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1, 0]",49.4,54.92310333251953
case15,18,1.691482292909031,4.585912856525349,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,6.999565839767456
case16,26,1.9426832227252,5.242919217742945,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 1, 1]",67.60000000000001,4609.670169591904
case17,21,1.931333722117231,4.424991784367197,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",54.6,36.93201732635498
case18,26,1.9869357744509544,1.0081516866997298,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 2, 0, 4]",67.60000000000001,2520.062677621841
case19,26,1.9078720732279704,5.320122576128547,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 2, 3, 4, 1, 1]",67.60000000000001,11575.580780982971
case20,18,1.6860142014677917,5.63467225737319,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,7.631873607635498
case21,18,1.744712339165793,4.716947059975806,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,7.870026111602783
case22,18,1.6564038849044844,4.592720858526072,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",46.8,11.41892147064209
case24,26,1.9357353811158005,1.0887686688302245,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 2, 2, 4, 4]",67.60000000000001,6069.443875312805
case25,26,2.038329095565901,6.073672292980504,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 0]",67.60000000000001,1019.7220849990844
case29,18,1.6378307764095836,3.9403642761429896,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",46.8,10.46608304977417
