Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,33,2.8997349589203343,2.784903756445438,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 3]",85.8,247.13033938407898
case2,18,1.8712172570766448,3.8544329238660744,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.800000000000004,16.784203052520752
case3,26,2.3275009324522955,2.902745431144162,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2]",67.60000000000001,66.2421088218689
case4,0,0.02359005504001611,1.306463244995156,2.6,[],0.0,0.0
case5,10,1.0217646333254367,1.052243758901045,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3]",26.0,11.28909945487976
case6,10,0.9096383580866582,3.9971139160111075,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",26.0,9.527420043945312
case7,0,0.18179270088446606,4.5147864922973735,2.6,[],0.0,0.0
case8,1,1.2544644034624055,0.5358238731369203,2.6,[-1],2.6,6982.226252555847
case9,0,0.08414125981944666,3.683561379626203,2.6,[],0.0,0.0
case10,0,0.04485281307773223,6.068805951630754,2.6,[],0.0,0.0
case11,27,2.503604000357105,1.740274050020977,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",70.2,36.15730690956116
case12,27,2.4072461946569264,0.04229842682739751,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",70.2,85.08897924423218
case13,19,1.8233889691997391,3.217551528256944,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",49.4,17.085681200027466
case14,33,3.015672630290627,3.9355270020624262,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,174.90742921829224
case15,34,2.746919351316192,6.241068073023494,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 0, 3, 2, 4]",88.4,1738.9784986972809
case16,10,0.8448333033840771,1.0511476964112683,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 0]",26.0,11.563506126403809
case17,26,2.194283764107584,3.6811852142707213,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 2, 0]",67.60000000000001,269.6411190032959
case18,18,1.8516094918478092,4.6482306818283705,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.800000000000004,16.11261510848999
case19,0,0.08502900726427973,5.962632758662427,2.6,[],0.0,0.0
case20,26,2.22421342049343,5.894475473982998,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 3, 1]",67.60000000000001,212.33978867530823
case21,4,0.5070302586000821,2.754324987004598,2.6,"[1, 3, 3, 3]",10.4,4.599041700363159
case22,4,0.4710975593274966,6.195638451566987,2.6,"[2, 4, 4, 1]",10.4,1.1509788036346436
case23,0,0.13013762345909125,5.0728759790221725,2.6,[],0.0,0.0
case24,10,1.061672524640765,2.365217233396978,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",26.0,7.3459625244140625
