Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,33,2.647226283775263,1.3678910328392144,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 2, 4, 4]",85.8,2508.234013080597
case2,33,2.668397232056873,0.4572702732934064,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 3, 0, 4]",85.8,1692.4590785503387
case3,10,0.6899796768634112,3.0902524134343707,2.6,"[3, 2, 2, 4, 4, 1, 1, 1, 1, 0]",26.0,50.741329193115234
case4,1,1.7196494978017676,5.775774128563611,2.6,[-1],2.6,4722.391794919968
case5,19,1.6082378329560192,3.6633056357070517,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 4]",49.4,75.70923852920532
case6,33,2.808718915968776,5.590269003535076,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 3, 2]",85.8,535.2019376754761
case7,26,2.2908636407298166,4.255900743828791,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3]",67.60000000000001,138.67840671539307
case8,26,2.281289959995534,2.152841911795909,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2]",67.60000000000001,103.99016952514648
case9,32,3.0596706745751305,2.204558338973559,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",83.2,53.03053140640259
case10,27,2.667505005678764,1.6803636358214131,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",70.2,26.863251209259033
