Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,27,2.08715721424099,1.7270029828553966,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 2, 3, 1]",70.2,3736.567866563797
case2,1,1.7786020152446926,1.0958003600310355,2.6,[-1],2.6,33777.89094567299
case3,26,1.8684315473517323,3.225548244127003,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4, 4, 1, 1, 3]",67.60000000000001,33023.074922800064
case4,27,1.9771916008798696,3.473921712699114,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 4, 4, 1, 1, 3]",70.2,32120.267828941345
case5,1,1.829887370366259,2.5546325559416077,2.6,[-1],2.6,29163.294879198074
case6,27,1.9527800060216418,0.11620152925672236,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 0, 3, 0, 2, 2, 4]",70.2,32521.270880937576
case7,18,1.8461935592186296,4.654288719419646,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.800000000000004,12.41895842552185
case8,26,1.97406115094027,4.625249906667517,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 0, 2, 3, 0, 0]",67.60000000000001,4361.349762678146
case9,1,1.8704614710765088,1.9759925945428518,2.6,[-1],2.6,33857.00294780731
case10,18,1.7751961086826393,2.1767887711377685,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,12.28435230255127
case11,1,1.6116980787133834,4.10236435614414,2.6,[-1],2.6,29911.521527051926
case12,19,1.6370827237673102,3.6735670349100182,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0]",49.4,42.59641480445862
case13,1,1.851148206881007,2.6299396549369236,2.6,[-1],2.6,31811.981676101685
case14,26,1.9615250100583754,0.746418097284898,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 2, 1, 4, 2, 3]",67.60000000000001,6917.964600086212
case15,27,2.0750746552260066,0.15912526706884592,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 1, 4, 3]",70.2,4460.291318893433
case16,26,1.9192229897825903,3.7519515366318417,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 3, 3, 3, 2, 4, 0]",67.60000000000001,9871.68350815773
