Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,18,1.5636672066767574,4.030610065048263,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3]",46.800000000000004,36.13012433052063
case2,10,1.0602254089526697,0.9527271643760653,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",26.0,6.572231292724609
case3,26,2.02889326639253,1.4441134616986457,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 3, 1, 2, 3]",67.60000000000001,2181.3219606876373
case4,29,2.72587169113129,2.6992033435547422,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",75.4,78.18448901176453
case5,32,3.0337662342040903,4.303640371456669,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",83.2,50.96243238449097
case6,1,1.128714323125205,5.84467064781642,2.6,[-1],2.6,5134.883905410767
case7,26,2.262065986826326,4.546488527093697,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0]",67.60000000000001,116.44519996643066
case8,18,1.4066390816969858,6.195620747439257,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 3, 4, 0]",46.800000000000004,238.03464579582214
case9,26,2.2722869322322485,1.4469534540081028,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 0]",67.60000000000001,114.57738184928894
case10,10,0.7617404231529574,1.7680459656964471,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 3, 2]",26.0,27.05383324623108
case11,9,0.6947396496146946,2.487932348934797,2.6,"[3, 3, 2, 2, 4, 1, 3, 3, 2]",23.400000000000002,56.00680375099182
case12,1,1.2009116033467984,5.346855877130342,2.6,[-1],2.6,5006.313626289368
case13,33,3.0622736812926408,6.279632926860109,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,169.82040143013
case14,26,2.353638098763219,3.6232810696831397,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",67.60000000000001,69.29315423965454
case15,2,0.329737666015221,5.961226199893024,2.6,"[4, 4]",5.2,0.12645530700683594
case16,1,2.5477456173981463,1.9846673526038197,2.6,[-1],2.6,4595.814601898193
case17,27,2.135606679185748,0.41870663196616165,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 3, 3]",70.2,2057.4636759757996
case18,10,0.7376513684969354,6.112437880922827,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1]",26.0,37.43092203140259
case19,26,2.1883298634204422,0.7015853451388908,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 2, 3]",67.60000000000001,266.64781188964844
case20,18,1.8721247648336627,6.216250891399907,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.800000000000004,15.983776569366455
case21,26,2.1924904241032515,1.4733573869382794,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 2, 3]",67.60000000000001,285.6710228919983
case22,3,0.4569027218163816,2.1803041605346225,2.6,"[1, 3, 3]",7.800000000000001,2.049272060394287
case23,27,2.488664898016721,4.694942580929167,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",70.2,46.24273443222046
case24,1,1.9477032035006248,5.54761697752018,2.6,[-1],2.6,5100.221180200577
case25,18,1.6037357862412132,0.8516766314251266,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0]",46.800000000000004,29.376692295074463
case26,26,2.1634023760658074,5.244360093260372,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1]",67.60000000000001,378.9823348522186
case27,33,2.9693794017724624,4.20393413757119,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,173.2949333190918
case28,27,2.6042913468660647,4.7118303733026226,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",70.2,29.84490990638733
case29,2,0.3296142511342785,5.54863233728378,2.6,"[4, 4]",5.2,0.12677597999572754
case30,26,2.2639378903622096,5.16035780778589,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 0]",67.60000000000001,144.87433171272278
case31,33,2.6651666434425985,5.5905870940152615,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 3, 2]",85.8,1962.7342653274536
case32,33,2.962101001460746,5.91109265649936,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2]",85.8,249.03245544433594
case33,10,1.0323076773764044,0.8101332873350138,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",26.0,6.795867204666138
case34,34,2.8067096220676166,1.7014856957334092,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 1, 4]",88.4,945.3731291294098
case35,18,1.2654573290794908,4.210139260733464,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 4, 4, 4]",46.800000000000004,4067.366623878479
case36,27,2.242943789625384,4.940746552033415,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 0]",70.2,442.800413608551
case37,18,1.7484158575693103,3.2132908331106926,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",46.800000000000004,16.02698802947998
case38,33,2.8121998211494077,3.055505262344693,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 0]",85.8,437.3608214855194
case39,18,1.8328731224606527,4.645324443858657,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.800000000000004,15.82433795928955
case40,1,1.5421232872516186,4.426833268581924,2.6,[-1],2.6,5155.449729442596
case41,26,2.109004701600401,1.409016798116038,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2]",67.60000000000001,1032.7682194709778
case42,5,0.6423888183627147,2.081955135130545,2.6,"[4, 1, 1, 3, 3]",13.0,4.037161350250244
