Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,26,2.09322818901768,4.692429418012978,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 2, 1, 4]",67.60000000000001,482.1779956817627
case2,26,1.918049518018067,0.9243066251682097,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 2, 2, 4, 4]",67.60000000000001,6471.5357031822205
case3,1,1.799210655257464,3.4696374737548714,2.6,[-1],2.6,20915.896055936813
case4,27,1.9515378946043722,3.30732545442742,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 0, 4, 0, 1, 1, 3]",70.2,20913.84221124649
case5,26,1.969598080213248,6.17376008448543,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 3, 1, 2, 1]",67.60000000000001,3081.7816245555878
case6,18,1.613725411362716,4.552797616655216,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",46.800000000000004,14.339911222457886
case7,18,1.5893891681385484,3.8340784097021228,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0]",46.800000000000004,19.60865831375122
case8,1,1.885158060731362,5.929969259828532,2.6,[-1],2.6,18622.317630529404
case9,1,1.6886841054858555,1.27929216715316,2.6,[-1],2.6,23457.995013475418
case10,26,2.0782442804275956,1.5372673685954563,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 0, 3, 0]",67.60000000000001,657.9320578575134
case11,1,1.7779552093161586,2.744814128503209,2.6,[-1],2.6,22967.63524532318
case12,1,1.6946518325966162,1.133311155080034,2.6,[-1],2.6,23365.231464147568
case13,18,1.7723871254856693,4.537892935165437,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.800000000000004,7.986611843109131
case14,18,1.8247339886205578,2.3237444386367954,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,8.209746837615967
case15,1,1.7132805780624882,4.896618932465063,2.6,[-1],2.6,18755.967222213745
case16,18,1.6293542848073226,3.981261291209874,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",46.800000000000004,11.036183595657349
case17,1,1.8783824704760783,2.821827337079946,2.6,[-1],2.6,17717.808404922485
case18,1,1.6828434056697914,3.6116738886004405,2.6,[-1],2.6,21643.0133600235
case19,18,1.5735803963280686,1.4468808122367522,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1]",46.800000000000004,19.473714590072632
case20,18,1.8410264084695955,1.5485713357729873,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.800000000000004,7.914202928543091
case21,18,1.621792918814822,5.755607611011991,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,71.15665793418884
case22,1,1.802785453960124,0.244016010377822,2.6,[-1],2.6,22055.562930345535
case23,27,2.0262819075150547,1.2377536478731703,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 2, 3, 0, 3]",70.2,13061.12340426445
case24,26,1.862786931297953,2.6636622004961517,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 1, 3, 0, 1]",67.60000000000001,21013.487651586533
case25,26,1.8868057341313493,3.9463748311828515,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 0, 1, 4, 4]",67.60000000000001,13067.173840761185
case26,27,2.0142369971373935,1.9813366700898363,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 1, 4, 3, 2, 0]",70.2,5115.963222503662
case27,1,1.69684618376465,4.4228683759142,2.6,[-1],2.6,23833.008234977722
