Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,18,1.8020004459685133,5.417864763593504,0.826897334730779,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,8.834323167800903
case2,33,2.7257895990853345,3.5679329332257987,5.690840613459982,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 3, 4, 4]",85.8,727.0484018325806
case3,1,1.209487314857931,5.354417593161581,2.393287955289295,2.6,[-1],2.6,3211.574459552765
case4,18,1.3543484502530465,0.14667557053801472,3.869294583457534,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 0, 0]",46.800000000000004,196.40209460258484
case5,18,1.5206049436911564,4.645871570559471,0.8812818969124026,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1, 2]",46.800000000000004,31.45387840270996
case6,27,2.4306213133982286,4.789689083418669,1.82460850482719,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",70.2,57.261613845825195
case7,1,1.0105348807277246,0.7498184573172781,4.2907300467688305,2.6,[-1],2.6,2984.3690967559814
case8,26,2.3511869154509255,3.608063326570866,1.5284462070298646,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",67.60000000000001,28.953200101852417
case9,18,1.3710811859554841,1.9648810132755388,2.514005005693154,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 4, 2, 3]",46.800000000000004,181.86332750320435
case10,10,0.7093974001516867,5.873838061876304,2.510215295097276,2.6,"[2, 2, 4, 4, 1, 1, 3, 1, 2, 0]",26.0,26.874427556991577
case11,11,0.8533949030796408,2.784499398554982,5.0431433375843415,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3]",28.6,17.20518970489502
case12,1,1.1130158979877611,4.82411433065017,3.4735392415430795,2.6,[-1],2.6,2929.520994901657
case13,10,0.8775598479221942,5.385396379878514,0.07144828036724124,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",26.0,5.789781093597412
case14,33,2.8034707067607685,2.762043704765702,1.1504812546797805,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 1, 0, 0]",85.8,372.6349196434021
case15,26,2.4715717481652253,1.159962675836885,5.290728100315639,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",67.60000000000001,14.522310495376587
case16,10,0.9555260393098862,2.695084188443937,0.19483104421298042,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",26.0,3.56046986579895
case17,11,0.5871700655757268,0.3799026466319797,3.4911504936140227,2.6,"[2, 2, 4, 4, 1, 3, 2, 0, 0, 4, 2]",28.6,266.76775765419006
case18,18,1.4800534121145106,0.23880849873631974,3.938732765194769,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0, 1]",46.800000000000004,52.88409733772278
case19,4,0.49758735528987896,2.7898868063899984,5.823998448430028,2.6,"[4, 4, 1, 1]",10.4,0.7451834678649902
case20,0,0.186435275524049,0.5711996733941664,0.9068668765123968,2.6,[],0.0,0.0012793540954589844
case21,19,1.4030805955241343,2.1923879168853615,1.8132929750432802,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 1, 4, 1, 1, 3, 3, 3]",49.4,1522.8148589134216
case22,18,1.6310900448270553,0.5074552996355268,3.915464469321132,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",46.800000000000004,13.412802696228027
