Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,18,1.6523827713720243,5.302645050565739,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",46.800000000000004,12.551061630249023
case2,27,2.0119820452664157,1.8932283685850295,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 4, 2, 4, 4, 1]",70.2,12961.793541669846
case3,27,2.0145479272971314,0.3897005790484162,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 4, 0, 0, 0, 3]",70.2,5298.304264307022
case4,1,1.8351179913040958,5.8915124565502435,2.6,[-1],2.6,19646.337748527527
case5,18,1.851939844920056,3.8790676111019136,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.800000000000004,7.837374448776245
case6,1,1.7368069294595936,0.43542231240158624,2.6,[-1],2.6,18316.418069839478
case7,1,1.6896718135146966,5.838175126744034,2.6,[-1],2.6,23187.813710927963
case8,26,2.0015634972101966,5.303422338770951,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 4, 1, 1]",67.60000000000001,2402.8713977336884
case9,1,1.6607324929795344,2.0306652042814357,2.6,[-1],2.6,18669.77235198021
case10,18,1.6279976024262541,1.5082455018131942,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3]",46.800000000000004,11.440264463424683
case11,1,1.6663519153427262,4.332844364508763,2.6,[-1],2.6,19352.22599506378
case12,18,1.7932927788207613,4.488549219222071,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.800000000000004,7.865079879760742
case13,1,1.6904408173437093,3.4054741303853717,2.6,[-1],2.6,20524.284075975418
case14,26,2.017756961948631,1.6272419324588883,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 2, 4, 0, 1]",67.60000000000001,1091.3363761901855
case15,26,1.9299027072132204,0.9402618328521707,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 1, 2, 4, 4]",67.60000000000001,4783.107909679413
case16,1,1.8334001297157492,3.602921184399223,2.6,[-1],2.6,19780.06952238083
case17,1,1.6419070009558763,2.1054233355091627,2.6,[-1],2.6,18019.69595503807
case18,26,1.9553405194277678,0.5367718557032255,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 2, 3, 1, 4, 0]",67.60000000000001,5120.116158008575
case19,27,2.0789809206652716,1.7623488919380075,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 1, 4, 2]",70.2,2650.9354157447815
case20,18,1.8661111434044455,3.804658569736376,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.800000000000004,7.396545171737671
case21,18,1.62514377933771,0.12196524998571293,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1]",46.800000000000004,10.454618692398071
case22,1,1.6497740040885887,3.3888312520803594,2.6,[-1],2.6,19525.638449668884
case23,1,1.8476608407024624,5.001834269293472,2.6,[-1],2.6,19137.4236471653
case24,1,1.9213896188777697,1.8493933182575755,2.6,[-1],2.6,17733.816457509995
case25,1,1.7145738017657846,5.085609158357361,2.6,[-1],2.6,17892.846121788025
case26,26,2.0730544506207598,0.8932934931629554,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 3, 0]",67.60000000000001,578.1675038337708
case27,18,1.6313647850421078,4.525300900473104,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",46.800000000000004,12.002555847167969
case28,1,1.6959898849075976,4.232973911510694,2.6,[-1],2.6,23266.276304006577
case29,20,1.6425188833020745,0.3477018875709271,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 0, 3, 2, 4, 4, 1, 1]",52.0,775.0715911388397
case30,18,1.6196085437283358,4.009275022353656,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",46.800000000000004,12.973705053329468
case31,26,2.085765690032126,3.639077526062728,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 0, 3]",67.60000000000001,562.8830516338348
case32,19,1.8652377718553004,4.845101761240626,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",49.4,8.292453527450562
case33,26,1.8549299911498929,3.7456155947066296,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2, 4, 3, 4]",67.60000000000001,18779.21669793129
case34,1,1.810144090561392,3.5613546415337773,2.6,[-1],2.6,17691.622863292694
case35,1,1.7328562129968113,5.068058953834808,2.6,[-1],2.6,16633.303242206573
case36,26,2.053420654046321,2.63498392471054,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 4, 3]",67.60000000000001,977.1663792133331
case37,27,2.072674345102996,0.2033484627791913,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 2, 4]",70.2,3164.122622013092
case38,1,1.7120281460404014,5.682693030570378,2.6,[-1],2.6,23440.00499510765
case39,18,1.6344008194560002,3.885817181561567,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",46.800000000000004,10.125699996948242
case40,1,1.6924736031180827,1.1395052063278117,2.6,[-1],2.6,23062.08289051056
case41,1,1.7736852616020304,4.1844425753973,2.6,[-1],2.6,21086.847786426544
case42,26,1.9817280692933044,0.613012368751257,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 4, 2, 3]",67.60000000000001,2522.7553622722626
case43,26,1.984656870325499,2.435677331106456,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 0, 2, 1]",67.60000000000001,2581.3866596221924
case44,1,1.842912393639684,1.736351233244748,2.6,[-1],2.6,20573.293565034866
case45,1,1.7170981741609381,4.341008144160512,2.6,[-1],2.6,20600.490887403488
case46,18,1.5995232866549411,4.563118861979945,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0]",46.800000000000004,17.523024797439575
case47,18,1.6048181150332146,5.458447072620536,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0]",46.800000000000004,15.547129392623901
case48,26,2.0234244532146164,0.612867318300219,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 2, 0]",67.60000000000001,1992.8911740779877
case49,18,1.7559395947695524,2.35973678994667,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,8.002703189849854
case50,27,2.0682143527709926,4.3079051863082904,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 2, 2, 0, 1]",70.2,3194.461512565613
case51,18,1.5827390179900651,3.166194013498096,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2]",46.800000000000004,17.205188035964966
case52,19,1.658467397793243,0.16217096186013605,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 4]",49.4,25.322744131088257
case53,1,1.71873359142089,4.407305919937868,2.6,[-1],2.6,19502.702721595764
case54,26,1.9230465723032324,6.224610472369014,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 0, 2, 1, 2, 4]",67.60000000000001,12488.512351989746
case55,26,1.9385817233027003,5.308441831746741,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 1, 4, 0]",67.60000000000001,4287.8979575634
case56,18,1.8028332048233169,6.197611037532268,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.800000000000004,8.226592540740967
