Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,18,1.4431518135621024,2.707413479204171,3.279512120872242,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 3]",46.8,88.24357008934021
case2,10,0.6072277106651398,0.1853962911225498,4.1888713248164136,2.6,"[4, 4, 1, 1, 3, 3, 2, 1, 0, 1]",26.0,119.3302879333496
case4,26,2.1129092666050724,5.5722667118629685,2.9984184287421685,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 1]",67.60000000000001,759.8435060977936
case5,18,1.7880268634369396,5.061734849657484,3.718513905540836,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,12.35710835456848
case6,12,0.9950178095501336,5.809903022050518,3.5827035777445926,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2]",31.200000000000003,39.42900848388672
case7,18,1.508879130968011,5.668742015396114,1.174939040667552,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.8,109.06789779663086
case8,18,1.3504796676591722,4.943888367596443,1.704258863273708,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 0, 3, 1]",46.8,474.4092056751251
case9,10,0.7818485070980434,2.3919916757050146,3.0718746600351907,2.6,"[2, 4, 4, 1, 1, 3, 3, 3, 4, 2]",26.0,16.6180522441864
case10,19,1.4351594645969437,0.7814776824413656,4.396509333078003,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 2, 2, 4]",49.4,1241.703774213791
case11,18,1.3010007774770274,0.2888952825883401,3.1206520707728176,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 3, 0, 4, 1]",46.8,1069.6469039916992
case12,27,2.238837838863044,2.561201831840872,3.21567317497608,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 1, 4]",70.2,314.2738754749298
case13,5,0.5997323236359546,5.512227363352967,2.912169241228787,2.6,"[3, 3, 2, 2, 4]",13.0,2.952753782272339
case15,18,1.6201026206097424,5.287541070008091,2.114149938337532,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",46.8,26.65890622138977
case17,33,2.963202430829926,4.7148740495155375,0.089538635926517,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",85.8,127.54143905639648
case18,18,1.7056681938987457,3.4847382803252764,2.4514219455761754,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.8,11.988268613815308
case24,11,0.9112441418949592,5.015845660385367,4.473013681785659,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 1]",28.6,19.280683755874637
case25,33,2.624525768369048,2.1397609755530977,2.008582455878597,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 1, 1, 0]",85.8,1865.3853418827057
case27,10,0.8698147039621934,5.421391235275255,6.262991673918543,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",26.0,7.761794567108154
