Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,18,1.4431518135621024,2.707413479204171,3.279512120872242,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 3]",46.8,88.24357008934021
case2,10,0.6072277106651398,0.1853962911225498,4.1888713248164136,2.6,"[4, 4, 1, 1, 3, 3, 2, 1, 0, 1]",26.0,119.3302879333496
case1,18,1.434692190654454,5.380791680041357,1.3593749380293316,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 4, 2]",46.8,146.96491193771362
case1,1,0.2003678680580208,5.929374725736564,4.168320684127929,2.6,[4],2.6,0.0
case2,2,0.301068699936349,0.9658964104062906,0.6935964970485802,2.6,"[1, 3]",5.2,0.062497854232788
case1,3,0.4366486125837527,0.9907311963651668,5.598433269410628,2.6,"[4, 1, 1]",7.800000000000001,0.2508397102355957
case2,4,0.4717764502127721,5.8980894236677415,3.206434304269034,2.6,"[3, 2, 2, 4]",10.4,0.5424246788024902
case3,18,1.7454393262334025,5.3986695776344,1.6369469872120674,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",46.8,9.604370594024658
case4,18,1.4214156786129426,4.893555697553735,5.556092831919603,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 3, 4]",46.8,135.2403016090393
case1,18,1.6025232378711085,1.2866318008953164,4.481207077706221,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0]",46.8,40.76751637458801
case2,26,2.336743948625183,4.039647072623197,2.4403482508394405,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0]",67.60000000000001,47.83205771446228
case3,33,3.012715453755992,5.353978339526253,2.5059360737561955,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,139.87259197235107
case1,27,2.3285228003784293,4.783227609496521,0.1597367922345785,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 3, 1]",70.2,137.81498765945437
case1,27,2.4901937127265468,5.928421933616779,3.305188952792265,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",70.2,27.44101643562317
case2,18,1.5285540120587875,2.7765292382454176,5.743379994576215,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.8,120.39715933799744
case3,18,1.5965656725158826,5.545740972130788,5.792653619754014,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.8,127.99388837814332
case4,2,0.2893618017285939,5.369158858391738,4.991806693220799,2.6,"[4, 1]",5.2,0.099001407623291
case1,18,1.578713104266483,5.5763816777065305,5.657543271551434,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0]",46.8,31.1779899597168
case2,26,2.284928620633337,1.5652624878838777,5.255140571908509,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0]",67.60000000000001,89.00861310958862
case3,11,1.055890320514231,3.6380567264526382,0.5526640747971803,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",28.6,6.074237585067749
case4,5,0.4972259434519794,1.5561035320156544,6.216137393518835,2.6,"[4, 4, 1, 1, 3]",13.0,2.542697668075561
