Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,2,0.30605545547175633,0.452236573183386,2.6,"[4, 1]",5.2,0.048203229904174805
case2,33,2.751837481278606,2.7522578594225817,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 1]",85.8,448.34252524375916
case3,33,2.8228082033639543,2.3370673857332833,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 2, 1, 1]",85.8,190.16300320625305
case4,33,2.7757923337527077,1.430568005399457,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4]",85.8,441.34479427337646
case5,18,1.3878209620873891,2.2676881952314214,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 3, 1]",46.800000000000004,121.93194079399109
case6,10,0.8515858037184171,1.2943005266767849,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3]",26.0,15.456933975219727
case7,1,1.7852379230397133,5.828027608357728,2.6,[-1],2.6,2577.8138778209686
case8,33,2.955328198841741,6.09130170449789,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2]",85.8,101.90246152877808
case9,27,2.1791588521915717,2.007919322688315,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 0, 2]",70.2,477.4505195617676
case10,33,2.767215665494845,2.2680180149568607,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 0, 0]",85.8,310.6677567958832
case11,0,0.04882248302967009,4.2217466024042505,2.6,[],0.0,0.0005140304565429688
case12,18,1.4808828407508898,2.989030834711317,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 0]",46.800000000000004,67.81240177154541
case13,18,1.3439820456513871,6.280646595416405,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0, 0, 0]",46.800000000000004,399.79125571250916
case14,1,1.2422528797938186,3.6945654869089823,2.6,[-1],2.6,2499.2768108844757
case15,18,1.5815082355789603,5.448780888902704,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1]",46.800000000000004,19.418646812438965
case16,3,0.3984856562486382,5.79159965802122,2.6,"[2, 4, 4]",7.800000000000001,0.2079474925994873
case17,1,1.2159841918401033,2.9153486992503357,2.6,[-1],2.6,2652.0453128814697
case18,26,2.378640436584722,3.753413444141835,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",67.60000000000001,23.21495509147644
case19,10,0.7127226926016689,1.3960637984607824,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3]",26.0,45.47445225715637
case20,1,1.751769694177615,3.5154307154305275,2.6,[-1],2.6,2473.926509141922
case21,10,0.7288809076683169,1.326705794811771,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3]",26.0,21.69094753265381
case22,10,0.9827418674818953,4.818350776656682,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",26.0,3.0100114345550537
case23,19,1.604519232495285,0.49686394300706327,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 1, 2, 2, 2, 4, 1, 1]",49.4,308.9448525905609
case24,3,0.40339072474475596,6.157961965798644,2.6,"[4, 4, 1]",7.800000000000001,0.837766170501709
case25,4,0.5152763587413167,2.7392992145305435,2.6,"[1, 3, 3, 3]",10.4,1.9521348476409912
case26,27,2.240279998876111,1.9360463641676424,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 1, 3, 4]",70.2,252.66241693496704
