Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,1,1.8056994338710874,4.088288690391836,2.6,[-1],2.6,17490.750185251236
case2,18,1.6674744101307797,2.9855161335890377,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",46.800000000000004,11.093818187713623
case3,27,2.0215276990010937,0.15993249568907755,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 2, 3, 2, 2, 3]",70.2,12746.929420948029
case4,18,1.863057013587225,5.406369572604577,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,7.7492029666900635
case5,26,2.0032471944124803,5.727091700350995,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 3, 0, 0]",67.60000000000001,2543.1276919841766
case6,1,1.786223218821638,5.278579204365653,2.6,[-1],2.6,18073.641125917435
case7,27,1.9864092133449889,4.37048433724387,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 2, 0, 0, 1]",70.2,15532.734717845917
case8,26,2.0288757510610727,3.8043858561760113,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 3, 2, 4, 0]",67.60000000000001,1820.6341919898987
case9,19,1.7236167424578561,3.65161378757696,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",49.4,14.98295521736145
case10,19,1.6319939466492215,4.939876625318236,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 3, 3, 2, 2, 4]",49.4,362.7006514072418
case11,19,1.8171136450023953,0.11086537500373006,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",49.4,8.567726612091064
case12,26,2.0231564725160784,1.6243310975243956,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 4, 3, 1, 4]",67.60000000000001,1108.9140594005585
case13,18,1.6470144103758018,2.562371067256104,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,80.32850980758667
case14,27,2.0480756918472935,3.574255340503502,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 3, 4, 3]",70.2,5487.606451511383
case15,26,2.0105923861051296,0.6443401595672877,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 1, 2, 3]",67.60000000000001,2033.0174813270569
case16,1,1.8116805270814165,4.322457673278978,2.6,[-1],2.6,20021.330035209656
case17,1,1.6566454985168266,1.3015235592508856,2.6,[-1],2.6,21864.026386737823
case18,18,1.6455139143717934,2.8924365578890185,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",46.800000000000004,23.89095902442932
case19,26,2.0427081397940814,2.6262601922085786,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0]",67.60000000000001,980.4402639865875
case20,18,1.603200209168945,4.655902931705119,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0]",46.800000000000004,13.977748394012451
case21,1,1.897081427595735,4.258170116404742,2.6,[-1],2.6,18509.65122652054
case22,19,1.9081038312623624,1.665934794869482,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",49.4,9.279781103134155
case23,26,1.8703939487387007,1.001179416537323,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 2, 2, 0, 4]",67.60000000000001,21215.08630013466
case24,1,1.8288549114168478,1.2114127435419404,2.6,[-1],2.6,19489.832085371017
case25,18,1.6705522803952664,1.30908140868415,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.800000000000004,18.72696805000305
case26,1,1.7350409213559943,5.744228383879706,2.6,[-1],2.6,20377.34985756874
case27,27,2.018592306534241,4.890174410549195,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 0, 3, 0]",70.2,13049.776552438736
case28,18,1.822171547014199,4.6011365083551174,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.800000000000004,8.027456760406494
case29,19,1.6873362587840703,1.697367011659748,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0]",49.4,15.3629891872406
case30,18,1.8131431940245701,3.016771659364678,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",46.800000000000004,8.195336818695068
case31,18,1.8054655066711636,0.6339392213668003,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,8.118828296661377
case32,26,2.02309397592979,1.0956473695958757,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 2, 4, 0]",67.60000000000001,2900.1081540584564
case33,1,1.6944457727125994,2.5640686434734885,2.6,[-1],2.6,23804.92892384529
case34,26,2.0577682936336252,4.095893147622421,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 1, 2]",67.60000000000001,826.6530840396881
case35,18,1.7255607043895569,1.5296736451188273,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",46.800000000000004,7.67553186416626
case36,27,2.06617725063583,0.10878025452630223,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 3, 2, 4]",70.2,2746.678607225418
case37,1,1.8057126576819535,1.9457981868950973,2.6,[-1],2.6,20838.604430675507
case38,21,1.9069132995671194,1.2896274525866898,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3]",54.6,36.509636878967285
case39,1,1.6960900133434105,2.6743437353296104,2.6,[-1],2.6,24560.58479309082
case40,27,2.0917027559732047,3.2872256001219555,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 0, 0]",70.2,2699.2120411396027
