gate length,Theta,Phi,dt,combination,total time,computing time
0,9.84E-05,2.334113484,2.6,[],0,0.001998901
0,0.00044984,6.093487824,2.6,[],0,0.015646219
0,0.00046638,2.599058342,2.6,[],0,0
0,0.000615702,1.696876343,2.6,[],0,0
0,0.000901852,0.279935164,2.6,[],0,0.002997398
0,0.000970747,3.170579813,2.6,[],0,0.001028061
0,0.001453277,2.050107085,2.6,[],0,0
0,0.001498369,3.498069108,2.6,[],0,0.002999783
0,0.001515831,5.621782358,2.6,[],0,0.010504723
0,0.001986832,2.445605514,2.6,[],0,0
0,0.002116701,4.455933165,2.6,[],0,0.002998829
0,0.002133273,3.149331979,2.6,[],0,0.015842676
0,0.002612677,0.884458597,2.6,[],0,0
0,0.002753437,4.495674302,2.6,[],0,0
0,0.00295924,2.24922141,2.6,[],0,0.00202107
0,0.002964641,2.756926032,2.6,[],0,0
0,0.003162747,1.431055157,2.6,[],0,0
0,0.00387013,5.73093307,2.6,[],0,0.00201631
0,0.004182446,1.280314158,2.6,[],0,0.003000736
0,0.004399571,4.436745408,2.6,[],0,0
0,0.004542455,1.638642868,2.6,[],0,0.001997709
0,0.004682012,2.94266362,2.6,[],0,0
0,0.00476856,2.755963249,2.6,[],0,0
0,0.004902639,2.497470117,2.6,[],0,0.002000093
0,0.005054057,1.50282356,2.6,[],0,0
0,0.005211845,0.873563242,2.6,[],0,0
0,0.005236202,4.024029923,2.6,[],0,0.002029181
0,0.005592444,3.133114093,2.6,[],0,0
0,0.00585309,0.93429921,2.6,[],0,0.00200629
0,0.005878168,4.085371717,2.6,[],0,0.003001213
0,0.006158597,4.160397524,2.6,[],0,0.002000093
0,0.006383816,6.088936353,2.6,[],0,0
0,0.006516118,1.656122786,2.6,[],0,0
0,0.006584057,4.045460772,2.6,[],0,0
0,0.006620614,5.990005032,2.6,[],0,0.003735304
0,0.006628292,6.03018242,2.6,[],0,0
0,0.006635828,3.772231798,2.6,[],0,0
0,0.006645756,2.58882479,2.6,[],0,0
0,0.006757515,5.438212383,2.6,[],0,0.002999783
0,0.007002594,5.02165135,2.6,[],0,0.001998663
0,0.007079753,2.163700004,2.6,[],0,0.002001047
0,0.007321,0.76589481,2.6,[],0,0.00202656
0,0.007329098,2.583446999,2.6,[],0,0
0,0.007429444,6.207800194,2.6,[],0,0
0,0.007563216,2.878858673,2.6,[],0,0.003000259
0,0.007590774,1.435543485,2.6,[],0,0
0,0.007595523,5.100833714,2.6,[],0,0.001020193
0,0.00782655,4.7448029,2.6,[],0,0.0019989
0,0.007955589,2.16523654,2.6,[],0,0.002018452
0,0.008108783,4.337680342,2.6,[],0,0.002001047
0,0.008135711,3.75372053,2.6,[],0,0.002024174
0,0.008152358,0.294783072,2.6,[],0,0.003000736
0,0.008395321,3.685724771,2.6,[],0,0
0,0.008499935,1.571110548,2.6,[],0,0
0,0.008516911,5.85461972,2.6,[],0,0.015658617
0,0.008885726,2.298018036,2.6,[],0,0
0,0.009264377,5.83619649,2.6,[],0,0
0,0.009564309,3.047851926,2.6,[],0,0
0,0.009675646,5.987972865,2.6,[],0,0
0,0.009777755,5.74949506,2.6,[],0,0.001997709
0,0.009890214,0.094992265,2.6,[],0,0.002023697
0,0.009896472,1.921748314,2.6,[],0,0.015856028
0,0.009976004,0.823030247,2.6,[],0,0.002025127
0,0.01008205,4.612132826,2.6,[],0,0
0,0.010344304,2.585964676,2.6,[],0,0
0,0.010458224,0.972725754,2.6,[],0,0.005001307
0,0.010546249,2.265347933,2.6,[],0,0.003000498
0,0.010585752,3.11831868,2.6,[],0,0.001023531
0,0.010693897,4.843037924,2.6,[],0,0
0,0.01092567,2.837569576,2.6,[],0,0.001999855
0,0.010971446,2.435495828,2.6,[],0,0.013608932
0,0.01139211,3.39278825,2.6,[],0,0.00199914
0,0.012161458,2.418851255,2.6,[],0,0
0,0.01219224,4.362819213,2.6,[],0,0
0,0.012309589,1.090420909,2.6,[],0,0
0,0.012350794,3.25218814,2.6,[],0,0.001021147
0,0.012374475,0.019670024,2.6,[],0,0
0,0.012676344,4.004320085,2.6,[],0,0.001999617
0,0.013071818,4.454113694,2.6,[],0,0.002018452
0,0.01310012,3.293571502,2.6,[],0,0.001998901
0,0.013205684,0.92514059,2.6,[],0,0
0,0.013486949,5.985422565,2.6,[],0,0.004790306
0,0.013535395,1.7904363,2.6,[],0,0
0,0.013576013,0.704245867,2.6,[],0,0
0,0.013625775,1.617204554,2.6,[],0,0.003000498
0,0.013686306,2.757849953,2.6,[],0,0
0,0.013725816,2.417986876,2.6,[],0,0.002020121
0,0.013780902,5.924428756,2.6,[],0,0
0,0.013860554,5.067184188,2.6,[],0,0.002021313
0,0.013891856,5.53929083,2.6,[],0,0.002018213
0,0.01401658,0.646784943,2.6,[],0,0.003000021
0,0.014392853,0.348411265,2.6,[],0,0
0,0.014692194,3.691012729,2.6,[],0,0
0,0.014804083,3.147713895,2.6,[],0,0
0,0.014885232,3.576579032,2.6,[],0,0
0,0.014894452,0.44521876,2.6,[],0,0.001019478
0,0.014903301,5.378673346,2.6,[],0,0.00199914
0,0.014940264,3.830871677,2.6,[],0,0.001997471
0,0.015076485,5.936639827,2.6,[],0,0.002023935
0,0.015282852,4.098536415,2.6,[],0,0
0,0.015622534,5.848142579,2.6,[],0,0
0,0.015905608,1.968720082,2.6,[],0,0.001024485
0,0.01605247,5.261014473,2.6,[],0,0
0,0.016091023,0.607484443,2.6,[],0,0
0,0.0161352,2.40848835,2.6,[],0,0.00101328
0,0.016153025,4.947448661,2.6,[],0,0
0,0.01635914,2.133892489,2.6,[],0,0
0,0.016383089,2.875379345,2.6,[],0,0
0,0.016533484,2.273766079,2.6,[],0,0
0,0.016647793,3.657219489,2.6,[],0,0
0,0.016658408,4.874883629,2.6,[],0,0.002018929
0,0.01671026,5.592127271,2.6,[],0,0
0,0.016748264,5.342647864,2.6,[],0,0.002022505
0,0.0167615,2.754433903,2.6,[],0,0
0,0.016821012,0.361850242,2.6,[],0,0
0,0.016845617,4.761717075,2.6,[],0,0
0,0.016847179,5.94113093,2.6,[],0,0.00199914
0,0.016877487,5.578927252,2.6,[],0,0.000999689
0,0.01698248,4.776743884,2.6,[],0,0.00200057
0,0.017176314,5.815935867,2.6,[],0,0
0,0.017238387,3.436532776,2.6,[],0,0
0,0.01747686,4.702157644,2.6,[],0,0
0,0.017486901,4.131367735,2.6,[],0,0.002513647
0,0.017594635,1.131315851,2.6,[],0,0.006908894
0,0.017623564,2.146326363,2.6,[],0,0
0,0.017805801,2.30560444,2.6,[],0,0.003000975
0,0.017831865,0.483339149,2.6,[],0,0.002001047
0,0.017912823,0.059721448,2.6,[],0,0
0,0.01792527,5.408663422,2.6,[],0,0.004000902
0,0.017984648,6.264989392,2.6,[],0,0.001020908
0,0.018046035,4.507282544,2.6,[],0,0.002999544
0,0.018150174,5.724134768,2.6,[],0,0.00310111
0,0.018223748,3.927317797,2.6,[],0,0.001998186
0,0.018549429,2.438129564,2.6,[],0,0
0,0.018571808,0.70053837,2.6,[],0,0.015627623
0,0.018877123,2.191727465,2.6,[],0,0.001010418
0,0.018966103,5.846220674,2.6,[],0,0.001017809
0,0.019538817,0.04232594,2.6,[],0,0
0,0.020150228,3.72666694,2.6,[],0,0.0010252
0,0.020172045,3.979618937,2.6,[],0,0.00200057
0,0.02035795,4.586483085,2.6,[],0,0.002999306
0,0.020388285,5.683578066,2.6,[],0,0.002001762
0,0.020397491,1.203602367,2.6,[],0,0.015790224
0,0.020605503,2.970082336,2.6,[],0,0
0,0.020672,4.5226423,2.6,[],0,0.0019989
