gate length,Theta,Phi,dt,combination,total time,computing time
4,0.602840279,4.944722327,3,"[3, 2, 2, 4]",12,1.531173468
13,1.453271426,3.579794719,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2]",39,19.61584973
8,0.930036795,2.193507314,3,"[3, 2, 2, 4, 4, 1, 3, 3]",24,7.804427624
10,0.953826619,4.125023569,3,"[3, 2, 2, 4, 4, 1, 3, 3, 2, 0]",30,17.43573141
28,2.944684136,0.473978789,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1]",84,100.1955898
7,0.71227923,5.56563304,3,"[1, 3, 3, 2, 2, 4, 4]",21,7.674611568
24,2.480697839,0.921791798,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",72,119.2036214
28,3.046598086,6.180844897,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1]",84,100.6312597
15,1.640223018,3.645267964,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",45,26.11662102
27,2.973043627,3.924646874,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2]",81,101.8143415
9,1.064673795,1.394444325,3,"[1, 3, 3, 2, 2, 4, 1, 1, 1]",27,15.47754216
19,2.11268691,4.373087753,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",57,49.9792819
11,1.253414968,3.336693372,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2]",33,16.21420145
3,0.414448922,2.798884111,3,"[1, 3, 3]",9,0.537128687
24,2.522050245,5.488410646,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4]",72,85.23523736
18,1.793361849,1.849567195,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 0, 3]",54,113.2733397
13,1.15628298,3.689343023,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 0, 0]",39,85.00708842
7,0.893582139,4.452482288,3,"[4, 1, 1, 3, 3, 2, 4]",21,5.536120653
23,2.345100468,1.631408136,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3]",69,171.4722626
13,1.320780801,5.61454418,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4]",39,51.555264
5,0.520421491,1.176253587,3,"[2, 4, 4, 1, 1]",15,3.070408821
10,1.069094469,2.78350713,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 2]",30,18.78205323
23,2.375494304,1.829916312,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 1]",69,113.3918643
3,0.468867437,5.330405304,3,"[2, 4, 4]",9,0.528267145
15,1.763866749,3.837897316,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",45,27.03238249
27,2.724813982,5.612604131,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 0]",81,273.6724298
23,2.324938114,2.200241852,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3]",69,220.4592159
22,2.455812092,5.277683364,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",66,65.83552933
12,1.411335364,1.185004079,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1]",36,15.12778044
27,2.975900394,5.829201649,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,96.65463996
3,0.515518562,3.919149088,3,"[3, 2, 2]",9,0.538085461
