gate length,Theta,Phi,dt,combination,total time,computing time
4,0.54375707,0.043632693,2.6,"[2, 4, 4, 1]",10.4,0.693154097
4,0.556858506,3.912609179,2.6,"[3, 3, 2, 2]",10.4,0.884197235
5,0.519070428,0.685358445,2.6,"[2, 4, 4, 1, 1]",13,1.3352983
5,0.659799232,0.697024828,2.6,"[2, 4, 4, 1, 1]",13,1.743389845
5,0.542847238,2.630403554,2.6,"[4, 1, 1, 3, 3]",13,1.77039361
5,0.590013346,5.533013957,2.6,"[3, 2, 2, 4, 4]",13,1.781398058
5,0.522366335,1.877223078,2.6,"[4, 4, 1, 1, 3]",13,1.981443167
6,0.677687916,1.510099301,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.607582331
6,0.702967407,1.679465915,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.277732611
6,0.582734713,2.649317109,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.560795307
6,0.633555474,2.56311282,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.632811546
6,0.660992699,4.033485183,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.663819313
7,0.715611859,1.85248993,2.6,"[2, 2, 4, 4, 1, 1, 3]",18.2,6.066355944
5,0.523993156,2.997639647,2.6,"[1, 1, 3, 3, 2]",13,10.68638921
4,0.524446695,4.284451437,2.6,"[3, 2, 2, 2]",10.4,12.72884464
5,0.587227922,3.670612715,2.6,"[1, 3, 3, 2, 2]",13,15.76550651
6,0.603596568,4.362506758,2.6,"[1, 3, 3, 2, 2, 4]",15.6,17.80698061
7,0.65921195,1.326892664,2.6,"[2, 2, 4, 4, 1, 1, 3]",18.2,22.38100147
6,0.583592025,1.162944501,2.6,"[2, 4, 4, 4, 1, 1]",15.6,24.18040466
6,0.702220519,2.858525553,2.6,"[4, 1, 1, 3, 3, 3]",15.6,30.61084175
8,0.740249926,4.39045069,2.6,"[4, 1, 1, 3, 3, 2, 2, 4]",20.8,48.36180854
4,0.568310451,1.462263821,2.6,"[4, 1, 1, 3]",10.4,0.366081238
4,0.524371883,4.921749738,2.6,"[3, 2, 2, 4]",10.4,0.693154335
4,0.5589881,2.527532851,2.6,"[1, 1, 3, 3]",10.4,0.884197235
5,0.564628711,0.652058959,2.6,"[2, 4, 4, 1, 1]",13,1.3352983
5,0.618692031,0.733219854,2.6,"[2, 4, 4, 1, 1]",13,1.743390083
5,0.567051842,2.495111284,2.6,"[4, 1, 1, 3, 3]",13,1.77039361
5,0.598852762,0.199945136,2.6,"[2, 2, 4, 4, 1]",13,1.781398058
5,0.536076663,1.899591565,2.6,"[4, 4, 1, 1, 3]",13,1.981443405
6,0.687634602,1.542314842,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.607582569
6,0.735244453,1.687331657,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.278729439
6,0.619703419,2.693066274,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.560795546
6,0.734019726,3.957617852,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.632811546
6,0.639326621,5.759647767,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.663819551
7,0.719597432,4.998465849,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.066355944
5,0.521914377,6.175320132,2.6,"[2, 2, 4, 4, 1]",13,10.68738794
4,0.538333799,1.120884334,2.6,"[4, 1, 1, 1]",10.4,12.72884512
5,0.583464714,3.725526082,2.6,"[1, 3, 3, 2, 2]",13,15.7665236
6,0.627958019,4.505693265,2.6,"[1, 3, 3, 2, 2, 4]",15.6,17.80797982
7,0.658877342,6.020603458,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,22.38200259
7,0.700736284,3.631660423,2.6,"[4, 1, 1, 3, 3, 2, 2]",18.2,24.18137336
6,0.691135205,5.928740227,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.61084223
8,0.728714855,6.023171726,2.6,"[1, 3, 3, 2, 2, 4, 4, 4]",20.8,48.72589064
4,0.514669159,1.469179617,2.6,"[4, 1, 1, 3]",10.4,0.36808157
4,0.543657065,3.19073048,2.6,"[1, 3, 3, 2]",10.4,0.693154335
4,0.50401639,5.822326841,2.6,"[2, 2, 4, 4]",10.4,0.884197474
5,0.62012874,2.16970844,2.6,"[4, 1, 1, 3, 3]",13,1.3352983
5,0.623689917,2.251741228,2.6,"[4, 1, 1, 3, 3]",13,1.743390322
5,0.568151353,1.82817566,2.6,"[4, 4, 1, 1, 3]",13,1.77039361
5,0.604393505,0.22132423,2.6,"[2, 2, 4, 4, 1]",13,1.781398058
5,0.5366741,1.871182451,2.6,"[4, 4, 1, 1, 3]",13,1.982439995
6,0.697955359,1.562292933,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.607582808
6,0.712591131,1.702315189,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.279732943
6,0.648141088,2.654015198,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.560796499
6,0.581514028,1.065787609,2.6,"[2, 2, 4, 4, 1, 1]",15.6,3.632811785
6,0.685333247,4.050918914,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.66381979
7,0.661986922,3.447905054,2.6,"[4, 4, 1, 1, 3, 3, 2]",18.2,6.066356182
4,0.515252644,2.150769117,2.6,"[1, 1, 3, 3]",10.4,10.68738866
4,0.534334698,5.945231809,2.6,"[2, 4, 4, 4]",10.4,12.72982836
5,0.593303919,3.636079249,2.6,"[1, 3, 3, 2, 2]",13,15.76652408
6,0.628490457,6.050577104,2.6,"[3, 2, 2, 4, 4, 1]",15.6,17.80797982
7,0.66438593,4.538090569,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,22.38400316
7,0.691859552,3.622463549,2.6,"[4, 1, 1, 3, 3, 2, 2]",18.2,24.18240452
6,0.694051808,5.925208065,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.61280847
8,0.725949735,6.015397232,2.6,"[1, 3, 3, 2, 2, 4, 4, 4]",20.8,48.77990222
4,0.51467189,1.470156504,2.6,"[4, 1, 1, 3]",10.4,0.36808157
4,0.552497836,3.22219534,2.6,"[1, 3, 3, 2]",10.4,0.693154335
4,0.507367457,1.113602479,2.6,"[4, 4, 1, 1]",10.4,0.884197474
5,0.665728994,0.637934297,2.6,"[2, 4, 4, 1, 1]",13,1.3352983
5,0.629241564,2.29653645,2.6,"[4, 1, 1, 3, 3]",13,1.743604422
5,0.585594831,0.196332219,2.6,"[2, 2, 4, 4, 1]",13,1.77039361
5,0.61168011,4.974574413,2.6,"[3, 3, 2, 2, 4]",13,1.781398058
5,0.567127681,0.375184175,2.6,"[2, 2, 4, 4, 1]",13,1.982440472
6,0.644188036,1.508840889,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.607583046
6,0.67615026,1.672742337,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.282729864
6,0.668536599,2.634734109,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.561791182
6,0.677925213,5.447230703,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.632811785
6,0.658706965,5.576335168,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.664331913
7,0.746032817,3.44284344,2.6,"[4, 4, 1, 1, 3, 3, 2]",18.2,6.066356182
5,0.519227456,6.086608999,2.6,"[2, 2, 4, 4, 1]",13,10.68738866
4,0.53557112,4.233769672,2.6,"[3, 2, 2, 2]",10.4,12.72982836
5,0.59216442,0.507504876,2.6,"[2, 4, 4, 1, 1]",13,15.76752353
6,0.635427388,1.334394901,2.6,"[2, 4, 4, 1, 1, 3]",15.6,17.80898046
6,0.686050845,0.53895628,2.6,"[2, 2, 4, 4, 1, 1]",15.6,22.38500428
7,0.6988918,2.060940725,2.6,"[2, 4, 4, 1, 1, 3, 3]",18.2,24.1843791
6,0.693129659,5.913804354,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.61584282
8,0.72744023,6.023076368,2.6,"[1, 3, 3, 2, 2, 4, 4, 4]",20.8,48.79685211
4,0.53758593,1.468494787,2.6,"[4, 1, 1, 3]",10.4,0.369081974
4,0.515192488,0.055154302,2.6,"[2, 4, 4, 1]",10.4,0.693154573
4,0.511552753,5.460784839,2.6,"[2, 2, 4, 4]",10.4,0.884197474
5,0.637941703,0.639978215,2.6,"[2, 4, 4, 1, 1]",13,1.335298538
5,0.58186862,2.312831113,2.6,"[4, 1, 1, 3, 3]",13,1.74438715
5,0.58560846,0.126913456,2.6,"[2, 2, 4, 4, 1]",13,1.77039361
5,0.533647485,0.288747676,2.6,"[2, 2, 4, 4, 1]",13,1.781398296
5,0.603271051,1.891089204,2.6,"[4, 4, 1, 1, 3]",13,1.982440472
6,0.695126463,1.515800288,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.607583046
6,0.683684288,1.695013408,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.282730341
6,0.605444221,2.679578181,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.56179142
6,0.679065609,0.863993987,2.6,"[2, 2, 4, 4, 1, 1]",15.6,3.632811785
6,0.66032068,4.102118067,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.664813519
7,0.661095423,0.289092019,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,6.067347765
5,0.534612877,3.015089767,2.6,"[1, 1, 3, 3, 2]",13,10.68838835
4,0.523115139,5.898798592,2.6,"[2, 4, 4, 4]",10.4,12.72984433
5,0.592361301,5.233447492,2.6,"[3, 2, 2, 4, 4]",13,15.76752448
6,0.622308066,2.935439171,2.6,"[4, 1, 1, 3, 3, 2]",15.6,17.80995679
6,0.684134886,5.251327631,2.6,"[3, 3, 2, 2, 4, 4]",15.6,22.38600349
7,0.700826746,2.089820888,2.6,"[2, 4, 4, 1, 1, 3, 3]",18.2,24.18540478
6,0.699122661,1.257199383,2.6,"[2, 4, 4, 1, 1, 1]",15.6,30.61781001
8,0.728298805,6.016082667,2.6,"[1, 3, 3, 2, 2, 4, 4, 4]",20.8,48.82591271
4,0.525663527,1.473048126,2.6,"[4, 1, 1, 3]",10.4,0.370083094
4,0.552717134,1.672081551,2.6,"[4, 1, 1, 3]",10.4,0.693154573
4,0.519622474,3.849689839,2.6,"[3, 3, 2, 2]",10.4,0.884197474
5,0.638710778,0.640269091,2.6,"[2, 4, 4, 1, 1]",13,1.335298777
5,0.649895088,2.311842596,2.6,"[4, 1, 1, 3, 3]",13,1.74438715
5,0.600516945,2.54195556,2.6,"[4, 1, 1, 3, 3]",13,1.77039361
5,0.543261694,5.002605274,2.6,"[3, 3, 2, 2, 4]",13,1.781398296
5,0.615060417,1.883760661,2.6,"[4, 4, 1, 1, 3]",13,1.982440472
6,0.591229867,1.567944027,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.607583284
6,0.724884698,1.666861038,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.28273344
6,0.56991108,2.706463214,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.561792374
6,0.707741814,5.471451604,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.632811785
6,0.679533457,2.464937164,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.664813995
7,0.733804546,4.991680148,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.067348242
5,0.541583072,1.373461368,2.6,"[4, 4, 1, 1, 3]",13,10.68838835
4,0.530210644,1.212354934,2.6,"[4, 1, 1, 1]",10.4,12.72984457
5,0.584793393,2.114213271,2.6,"[4, 1, 1, 3, 3]",13,15.76852322
6,0.615504819,6.030287467,2.6,"[3, 2, 2, 4, 4, 1]",15.6,17.80998015
6,0.684477171,2.102244152,2.6,"[4, 4, 1, 1, 3, 3]",15.6,22.38697457
7,0.698916222,1.972812007,2.6,"[2, 4, 4, 1, 1, 3, 3]",18.2,24.18540549
6,0.698957147,4.402494165,2.6,"[1, 3, 3, 2, 2, 2]",15.6,30.61784363
8,0.726935391,2.840213876,2.6,"[2, 4, 4, 1, 1, 3, 3, 3]",20.8,48.84291625
4,0.514560259,1.469212894,2.6,"[4, 1, 1, 3]",10.4,0.371082067
4,0.567636594,0.681783586,2.6,"[4, 4, 1, 1]",10.4,0.693154573
4,0.521778088,2.620857274,2.6,"[1, 1, 3, 3]",10.4,0.884197474
5,0.64568848,2.202016155,2.6,"[4, 1, 1, 3, 3]",13,1.335298777
