Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,18,1.2772163730777857,5.533914899865566,2.61,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 0, 4, 0, 1]",0.99993763,46.98,1.4090197086334229
case2,26,2.241491184,4.474244658,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0]",0.99990131,67.60000000000001,0.060479164123535156
case3,33,2.94138863,3.41675814,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 0]",0.99997541,85.8,20.72709035873413
case4,32,2.333413079,6.208043603,2.76,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 0, 0, 0, 2, 0, 4]",0.99996564,88.32,64.99424743652344
case5,11,0.666634368,5.228249243,2.6,"[2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 0]",0.9999969,28.6,0.002589702606201172
case6,14,0.933486057,6.062753226,3.86,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 2, 4, 1]",0.99993029,54.04,37.450358152389526
case7,23,1.7270969588118177,2.950043609686519,3.05,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 0, 1, 3, 2]",0.99993181,70.14999999999999,56.65005898475647
case8,32,2.593238249,2.98649151,2.71,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 0, 4, 1, 1, 3]",0.99993878,86.72,77.84310984611511
case9,16,1.172378949,3.96535004,3.55,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 0, 3, 2, 2]",0.99994692,56.8,54.370394468307495
case10,11,0.703419631,0.32789868,2.69,"[4, 4, 1, 1, 3, 3, 2, 0, 0, 3, 1]",0.99998542,29.59,1.6250886917114258
case11,27,2.233792471,0.033939512,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 3, 4]",0.99999504,70.2,0.00402379035949707
case12,40,2.818439961,1.222911342,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 4, 0, 0, 0, 2, 2, 2, 2, 4]",0.99999124,104.0,94.69653177261353
case13,36,2.798141579,0.098049293,2.62,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 0, 1, 0, 2, 2, 4]",0.99992823,94.32000000000001,89.76843881607056
case14,26,2.325102081,4.031350667,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2]",0.99996065,67.60000000000001,1.1514489650726318
case15,26,2.107062357038371,3.12684616970508,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 1, 3, 1]",0.99991797,67.60000000000001,0.003995656967163086
case16,33,2.625949339,2.851893524,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 1, 0]",0.99991441,85.8,0.3644843101501465
case17,27,2.217135045803669,2.822853441029584,2.53,"[3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 3, 2]",0.99995377,68.30999999999999,13.803812503814697
case18,15,1.008025362,2.073190804,3.52,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 4, 0, 3, 3]",0.99993863,52.8,59.04590725898743
case19,14,0.984762,0.346198839,4.13,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 2, 2, 0, 1]",0.99992169,57.82,44.46844434738159
case20,31,1.9910909377173207,5.211782521945807,2.89,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 4, 4, 4, 3, 0, 0, 2, 0, 1]",0.99992362,89.59,62.462719202041626
case21,4,0.25344483,3.62174779,6.0,"[0, 1, 1, 0]",0.99999638,24.0,11.9044189453125
case22,36,2.791896911,1.917769663,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 0, 0, 4, 0, 4, 1]",0.99993749,93.60000000000001,89.18565583229065
case23,26,2.02170874,4.42319604,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2, 2, 4, 1]",0.99992805,67.60000000000001,1.3643581867218018
case24,31,2.429246014,0.678175745,2.68,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 0, 0, 0, 2, 1, 1]",0.99997864,83.08,102.23102045059204
case25,43,2.977123866,0.392111964,2.52,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4, 1]",0.99992378,108.36,146.98271417617798
case26,13,0.942739912,1.141833574,4.19,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 0, 0, 4, 0]",0.99992629,54.470000000000006,43.589423418045044
case27,18,1.366033888,4.037364055,2.57,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 1, 3, 3, 3, 4]",0.99993622,46.26,1.4233794212341309
case28,26,2.145488649,4.095326926,2.63,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 1, 4]",0.99996963,68.38,13.411362886428833
case29,26,2.049327728965268,5.338139107695742,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 2, 3]",0.99992825,67.60000000000001,0.06545472145080566
case30,8,0.5458690942251191,1.923414463087368,4.69,"[4, 1, 1, 3, 3, 0, 3, 1]",0.99995745,37.52,43.19232749938965
case31,31,2.346983753,5.948369566,2.82,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 0, 3, 0, 2, 4]",0.99999228,87.42,62.76005244255066
