Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,18,1.435773129,0.009208974,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1]",0.9999968520840152,46.800000000000004,250.02185726165771
case2,26,2.507637983,5.641298411,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",0.9950884922307875,67.60000000000001,239.3290891647339
case3,3,0.388398879,1.429610013,2.6,"[1, 1, 3]",0.9953315650032191,7.800000000000001,0.39870262145996094
case4,25,2.404027075,0.52706946,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9968448023110501,65.0,234.09248995780945
case5,10,0.8472813830208131,3.922199689551408,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 0]",0.9999402364057698,26.0,230.53595066070557
case6,34,2.837120941,4.783127901,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 3, 3, 2]",0.9999972839864898,88.4,236.42417860031128
case7,18,1.740417747,0.055951466,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4, 4, 1]",0.9953093942680311,46.800000000000004,235.91473031044006
case8,2,0.24323954,1.745798214,2.6,"[1, 3]",0.9988440541162439,5.2,0.1014258861541748
case9,6,0.697554067,1.198331103,2.6,"[2, 4, 4, 4, 1, 3]",0.9916886483216958,15.600000000000001,54.04979872703552
case10,12,1.15979434,0.716397387,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9991848385130702,31.200000000000003,261.18380069732666
case11,18,1.358540095,5.437861503,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 1, 0, 2, 2, 4]",0.999997228499583,46.800000000000004,236.538645029068
case12,33,3.092761812,4.688943022,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",0.9973901632136305,85.8,240.9492130279541
case13,11,1.03424462,3.61930421,2.6,"[3, 2, 2, 4, 4, 4, 1, 3, 3, 3, 2]",0.9989491423054716,28.6,258.5590627193451
case14,2,0.28159198,3.236345256,2.6,"[3, 2]",0.9976368115235101,5.2,0.05796670913696289
case15,26,2.546784253,2.360720558,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.9962030570398569,67.60000000000001,268.53755617141724
case16,0,0.0908575,4.355517684,2.6,[],0.9979376480001949,0.0,0.0
case17,26,2.10040896,4.668308259,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 2, 1, 3, 3, 2, 4]",0.9999966611027304,67.60000000000001,247.43282508850098
case18,29,2.69868974,3.286389603,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",0.9958651645244652,75.4,249.90057563781738
case19,2,0.316188344495299,5.941586898606681,2.6,"[4, 1]",0.9942315059339989,5.2,0.08858203887939453
case20,28,2.799844769,5.522232204,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.9913026920705801,72.8,283.8855583667755
case21,33,2.874728521,3.119415106,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",0.9912865884433593,85.8,232.03604006767273
case22,10,0.828849816,0.713027271,2.6,"[1, 1, 3, 3, 3, 2, 4, 4, 1, 3]",0.9999647375387555,26.0,218.33470010757446
case23,33,2.639313039,4.389160974,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 4, 0, 1, 3, 3, 2]",0.9999962719986886,85.8,206.29560732841492
case24,26,1.930863182496655,3.950602295713864,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 4, 3, 1, 3]",0.9999997553166169,67.60000000000001,204.6289610862732
case25,0,0.099085437,2.980256471,2.6,[],0.9975475265454683,0.0,0.0
case26,33,3.054174451,1.786367569,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",0.9987612642034278,85.8,217.39012026786804
case27,25,2.409654587,0.893713037,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",0.9944731521124851,65.0,221.90048575401306
case28,4,0.541967445,2.656858893,2.6,"[1, 3, 3, 3]",0.9901152715189746,10.4,1.804884910583496
case29,0,0.013205684,0.92514059,2.6,[],0.9999564031111008,0.0,0.0
