Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,18,1.770482239,1.391883644,2.58,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.99698,46.44,1314.7816259860992
case2,18,1.544460466,3.668333632,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 0, 1, 3, 2, 2]",0.99059,46.800000000000004,1380.8504629135132
case3,26,2.140590409,1.198953563,2.57,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 2, 3]",0.99932,66.82,1206.9996755123138
case4,27,2.493032928237467,0.3765226603324151,2.58,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9997,69.66,1021.5204200744629
case5,12,0.958101016,0.437503314,2.51,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4]",0.99999,30.119999999999997,0.868149995803833
case6,11,0.9956199024790192,2.1068446475385603,2.56,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3]",0.99995,28.16,0.8506124019622803
case7,24,2.378948136,4.068186694,2.63,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.99679,63.12,1024.466398715973
case8,27,2.309787185,3.549308533,2.57,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 3, 4]",0.99931,69.39,1048.395653963089
case9,27,2.638152533,1.707816867,2.63,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.99813,71.00999999999999,1178.3145081996918
case10,28,2.623061175,5.647276509,2.62,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.99992,73.36,1165.497064590454
case11,4,0.4565217853714943,4.170131229177713,3.05,"[3, 3, 2, 2]",0.99961,12.2,4.367238998413086
