gate length,Theta,Phi,dt,combination,total time,computing time
0,9.84E-05,2.334113484,2.6,[],0,0.001998901
0,0.00044984,6.093487824,2.6,[],0,0.015646219
0,0.000901852,0.279935164,2.6,[],0,0.002997398
0,0.000970747,3.170579813,2.6,[],0,0.001028061
0,0.001498369,3.498069108,2.6,[],0,0.002999783
0,0.001515831,5.621782358,2.6,[],0,0.010504723
0,0.002116701,4.455933165,2.6,[],0,0.002998829
0,0.00295924,2.24922141,2.6,[],0,0.00202107
0,0.002964641,2.756926032,2.6,[],0,0
0,0.00387013,5.73093307,2.6,[],0,0.00201631
0,0.004182446,1.280314158,2.6,[],0,0.003000736
0,0.004399571,4.436745408,2.6,[],0,0
0,0.004542455,1.638642868,2.6,[],0,0.001997709
0,0.004902639,2.497470117,2.6,[],0,0.002000093
0,0.005236202,4.024029923,2.6,[],0,0.002029181
0,0.00585309,0.93429921,2.6,[],0,0.00200629
0,0.005878168,4.085371717,2.6,[],0,0.003001213
0,0.006158597,4.160397524,2.6,[],0,0.002000093
0,0.006620614,5.990005032,2.6,[],0,0.003735304
0,0.006635828,3.772231798,2.6,[],0,0
0,0.006757515,5.438212383,2.6,[],0,0.002999783
0,0.007002594,5.02165135,2.6,[],0,0.001998663
0,0.007079753,2.163700004,2.6,[],0,0.002001047
0,0.007321,0.76589481,2.6,[],0,0.00202656
0,0.007563216,2.878858673,2.6,[],0,0.003000259
0,0.007595523,5.100833714,2.6,[],0,0.001020193
0,0.00782655,4.7448029,2.6,[],0,0.0019989
0,0.007955589,2.16523654,2.6,[],0,0.002018452
0,0.008108783,4.337680342,2.6,[],0,0.002001047
0,0.008135711,3.75372053,2.6,[],0,0.002024174
0,0.008152358,0.294783072,2.6,[],0,0.003000736
0,0.008516911,5.85461972,2.6,[],0,0.015658617
0,0.009675646,5.987972865,2.6,[],0,0
0,0.009777755,5.74949506,2.6,[],0,0.001997709
0,0.009890214,0.094992265,2.6,[],0,0.002023697
0,0.009976004,0.823030247,2.6,[],0,0.002025127
0,0.01008205,4.612132826,2.6,[],0,0
0,0.010458224,0.972725754,2.6,[],0,0.005001307
0,0.010546249,2.265347933,2.6,[],0,0.003000498
0,0.010585752,3.11831868,2.6,[],0,0.001023531
0,0.01092567,2.837569576,2.6,[],0,0.001999855
0,0.010971446,2.435495828,2.6,[],0,0.013608932
0,0.01139211,3.39278825,2.6,[],0,0.00199914
0,0.012350794,3.25218814,2.6,[],0,0.001021147
0,0.012676344,4.004320085,2.6,[],0,0.001999617
0,0.013071818,4.454113694,2.6,[],0,0.002018452
0,0.01310012,3.293571502,2.6,[],0,0.001998901
0,0.013486949,5.985422565,2.6,[],0,0.004790306
0,0.013625775,1.617204554,2.6,[],0,0.003000498
0,0.013686306,2.757849953,2.6,[],0,0
0,0.013725816,2.417986876,2.6,[],0,0.002020121
0,0.013860554,5.067184188,2.6,[],0,0.002021313
0,0.013891856,5.53929083,2.6,[],0,0.002018213
0,0.01401658,0.646784943,2.6,[],0,0.003000021
0,0.014692194,3.691012729,2.6,[],0,0
0,0.014804083,3.147713895,2.6,[],0,0
0,0.014894452,0.44521876,2.6,[],0,0.001019478
0,0.014903301,5.378673346,2.6,[],0,0.00199914
0,0.014940264,3.830871677,2.6,[],0,0.001997471
0,0.015076485,5.936639827,2.6,[],0,0.002023935
0,0.015282852,4.098536415,2.6,[],0,0
0,0.015905608,1.968720082,2.6,[],0,0.001024485
0,0.016091023,0.607484443,2.6,[],0,0
0,0.0161352,2.40848835,2.6,[],0,0.00101328
0,0.01635914,2.133892489,2.6,[],0,0
0,0.016533484,2.273766079,2.6,[],0,0
0,0.016658408,4.874883629,2.6,[],0,0.002018929
0,0.016748264,5.342647864,2.6,[],0,0.002022505
0,0.016821012,0.361850242,2.6,[],0,0
0,0.016847179,5.94113093,2.6,[],0,0.00199914
0,0.01698248,4.776743884,2.6,[],0,0.00200057
0,0.017238387,3.436532776,2.6,[],0,0
0,0.017486901,4.131367735,2.6,[],0,0.002513647
0,0.017594635,1.131315851,2.6,[],0,0.006908894
0,0.017805801,2.30560444,2.6,[],0,0.003000975
0,0.017831865,0.483339149,2.6,[],0,0.002001047
0,0.01792527,5.408663422,2.6,[],0,0.004000902
0,0.017984648,6.264989392,2.6,[],0,0.001020908
0,0.018046035,4.507282544,2.6,[],0,0.002999544
0,0.018223748,3.927317797,2.6,[],0,0.001998186
0,0.018549429,2.438129564,2.6,[],0,0
0,0.018877123,2.191727465,2.6,[],0,0.001010418
0,0.018966103,5.846220674,2.6,[],0,0.001017809
0,0.020150228,3.72666694,2.6,[],0,0.0010252
0,0.020172045,3.979618937,2.6,[],0,0.00200057
0,0.02035795,4.586483085,2.6,[],0,0.002999306
0,0.020388285,5.683578066,2.6,[],0,0.002001762
0,0.020397491,1.203602367,2.6,[],0,0.015790224
0,0.020605503,2.970082336,2.6,[],0,0
0,0.020672,4.5226423,2.6,[],0,0.0019989
0,0.02077999,5.47670358,2.6,[],0,0.00300002
0,0.020792301,0.740131997,2.6,[],0,0
0,0.021119724,3.46573688,2.6,[],0,0.001026154
0,0.021361925,5.328280497,2.6,[],0,0.001998425
0,0.0216659,5.62555258,2.6,[],0,0.00300026
0,0.02173576,3.319080308,2.6,[],0,0.009049892
0,0.022142065,6.06901452,2.6,[],0,0.002999306
0,0.022486886,2.662854001,2.6,[],0,0.003000498
0,0.02261366,4.06054511,2.6,[],0,0
0,0.022676218,5.709539032,2.6,[],0,0
0,0.022877421,1.108453131,2.6,[],0,0
0,0.023185556,1.319543071,2.6,[],0,0.015671968
0,0.02320797,2.37808731,2.6,[],0,0
0,0.023337726,1.911223202,2.6,[],0,0.002017975
0,0.023530997,5.401721531,2.6,[],0,0
0,0.023590055,1.306463245,2.6,[],0,0
0,0.023639821,4.627977824,2.6,[],0,0.016136169
0,0.02364408,6.25572723,2.6,[],0,0.00300074
0,0.023685565,3.431579447,2.6,[],0,0.015795708
0,0.023929742,1.445217544,2.6,[],0,0.001010656
0,0.023931727,1.160150896,2.6,[],0,0.015728712
0,0.023956022,0.090183211,2.6,[],0,0.002019405
0,0.023993915,3.4279475,2.6,[],0,0.001015663
0,0.024120687,4.438973555,2.6,[],0,0
0,0.024871733,5.717793467,2.6,[],0,0.002034664
0,0.02491308,5.147317733,2.6,[],0,0.003000259
0,0.025250613,1.255665977,2.6,[],0,0.015659571
0,0.025859159,1.799833115,2.6,[],0,0.003000259
0,0.025946732,0.581670342,2.6,[],0,0.003000736
0,0.025948242,0.441398436,2.6,[],0,0.002021551
0,0.02622487,3.97975062,2.6,[],0,0.00300097
0,0.02672218,5.40807569,2.6,[],0,0.00202298
0,0.026908649,3.585037994,2.6,[],0,0
0,0.0270084,4.573699656,2.6,[],0,0.003000498
0,0.027196159,1.65787469,2.6,[],0,0.001998425
0,0.027240265,3.680619964,2.6,[],0,0.001998186
0,0.02748212,0.838347988,2.6,[],0,0
0,0.027614825,2.439414674,2.6,[],0,0.00200057
0,0.027639122,5.623649522,2.6,[],0,0.001997471
0,0.027688326,4.639582501,2.6,[],0,0.0010221
0,0.027714388,3.718735024,2.6,[],0,0.00443697
0,0.02785061,0.11134489,2.6,[],0,0
0,0.02796573,1.340335766,2.6,[],0,0
0,0.02799512,3.43024383,2.6,[],0,0.00202322
0,0.02846784,0.35683459,2.6,[],0,0.00199842
0,0.028612982,3.275602072,2.6,[],0,0.001998663
0,0.028887412,0.316891895,2.6,[],0,0.002018929
0,0.028939815,0.887836864,2.6,[],0,0.008990049
0,0.02909259,2.69928623,2.6,[],0,0.0030005
0,0.029214528,4.306178211,2.6,[],0,0.002001524
