Case,gate lenght,Theta,Phi,dt,combination,total time,computing time
case1,12,1.7208988499886924,4.69353564853908,5,"[1, 3, 2, 4, 4, 3, 3, 4, 4, 1, 3, 2]",60,184.79375982284546
case2,17,2.6690718861186014,2.239702288239935,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4, 3, 2]",85,282.4333403110504
case3,6,1.1519650453528,5.074598684157337,5,"[2, 4, 1, 3, 2, 4]",30,0.8881890773773193
case4,14,1.9365156826446954,4.354446181113868,5,"[2, 4, 1, 3, 2, 4, 4, 1, 3, 2, 4, 3, 2, 2]",70,520.2821571826935
case5,8,0.9980622681610456,4.8816989632567545,5,"[1, 3, 3, 4, 1, 3, 3, 0]",40,44.7888925075531
case6,8,1.151800829005896,0.8300198098893964,5,"[2, 4, 4, 1, 3, 2, 4, 1]",40,36.93445110321045
case7,18,2.753136203137672,0.7776371864434722,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 1]",90,388.19306349754333
case8,15,2.536429224871232,2.7382739645462375,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,35.29279541969299
case9,6,1.020662266314177,2.7359780512679936,5,"[3, 2, 2, 4, 1, 3]",30,8.887373208999634
case10,18,2.8196593070757685,4.569716547002399,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4, 3, 2, 2]",90,311.9966661930084
case11,0,0.011653917244529872,6.127908605408176,5,[],0,0.002000570297241211
case12,9,1.4545962486159068,5.50050998345926,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4]",45,23.763603925704956
case13,12,1.8960528134395596,1.6854465590815648,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 0, 3]",60,48.36522316932678
case14,5,0.8740771773241022,3.3580679340444295,5,"[2, 4, 1, 3, 3]",25,2.446533203125
case15,12,2.029525007363887,1.572762175264843,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3]",60,16.24258780479431
case16,15,2.1780359420604394,2.503084464482964,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1]",75,433.6619246006012
case17,4,0.6833021870299113,1.4492961098289339,5,"[2, 4, 4, 1]",20,3.215709686279297
case18,15,2.609360560570986,2.9938319175768933,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,35.08010482788086
case19,12,2.028760310045247,1.6735127652890842,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3]",60,12.210698127746582
case20,0,0.17147259942108337,3.8295255931634267,5,[],0,0.002000570297241211
case21,12,1.738580337856894,1.149105975172448,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,154.44352459907532
case22,1,0.3057995529660324,2.3342561583552794,5,[3],5,0.014003276824951172
case23,14,2.3456774543988184,4.459240729076003,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",70,22.331929683685303
case24,8,1.18829121310097,4.514222387099545,5,"[1, 3, 3, 4, 4, 1, 3, 2]",40,31.75201916694641
case25,5,0.6906216788231945,2.8326184978269575,5,"[2, 4, 4, 1, 3]",25,3.9183313846588135
case26,11,1.6018075957595204,3.0359145426369984,5,"[1, 3, 2, 4, 4, 3, 3, 4, 1, 1, 2]",55,105.3372175693512
case27,16,2.705897146772796,4.00017632684877,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4]",80,114.47504234313965
case28,6,0.9460517272076879,4.340210098496434,5,"[2, 4, 4, 1, 3, 2]",30,8.559302568435669
case29,9,1.4402801916140187,0.029949594989727314,5,"[1, 3, 2, 4, 4, 3, 3, 4, 4]",45,46.46964359283447
case30,0,0.12014959526651971,3.3128500738092574,5,[],0,0.0020003318786621094
case31,19,3.0406521877852906,5.530726717786164,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 1, 1, 3]",95,297.92132329940796
case32,11,1.2458768128794395,3.069337354381495,5,"[1, 3, 2, 4, 4, 1, 3, 4, 1, 3, 1]",55,715.8998029232025
case33,16,2.6895796292947747,2.1332080930178567,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4, 1]",80,117.94191193580627
case34,12,1.830429714655792,1.2090544907054461,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,115.69257712364197
case35,3,0.6503488240482449,2.346404458152692,5,"[4, 1, 3]",15,0.9032068252563477
case36,6,1.0849097941770078,5.188575899069023,5,"[2, 4, 1, 3, 2, 4]",30,1.9234254360198975
case37,8,1.2015768968716922,1.5543476427606566,5,"[2, 4, 1, 3, 3, 2, 1, 3]",40,27.735498189926147
case38,11,2.0332902041965304,3.335952755973728,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",55,4.898075103759766
case39,10,1.557997951729467,1.519241718159224,5,"[1, 3, 2, 4, 4, 3, 3, 4, 1, 3]",50,59.031407594680786
case40,9,1.6239663386663616,3.415634943488893,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.6918163299560547
case41,9,1.2558724938298487,5.940578966033112,5,"[1, 3, 2, 2, 4, 1, 3, 4, 4]",45,58.74698853492737
case42,15,2.542099983657107,3.559524050173271,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 3]",75,101.47432661056519
case43,1,0.31915884664650135,4.974751281337403,5,[4],5,0.017003536224365234
case44,6,1.0154351058867026,3.1925534941767792,5,"[3, 2, 4, 1, 1, 3]",30,9.717148542404175
case45,13,1.8130048764882931,2.9812901315350118,5,"[2, 4, 1, 3, 2, 2, 4, 1, 3, 2, 4, 3, 3]",65,294.1075060367584
case46,2,0.41120561627291125,3.449451506743459,5,"[3, 2]",10,0.6631460189819336
case47,2,0.34849394731059136,6.172231074597424,5,"[4, 4]",10,0.6951611042022705
case48,17,2.716359956866029,0.730319209953439,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3, 3, 2, 4]",85,265.6203510761261
case49,12,1.8902792636468047,3.963243840684049,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",60,56.77153968811035
case50,6,0.9861413610759683,2.7785046906015913,5,"[3, 2, 2, 4, 1, 3]",30,8.892973184585571
case51,17,2.7352830337030336,2.558221606019612,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3, 3]",85,178.60997223854065
case52,14,2.057963328197866,0.8870780825661873,5,"[1, 3, 2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,258.3302035331726
case53,11,1.4991027223023399,2.711879417688139,5,"[1, 3, 3, 4, 1, 1, 3, 2, 4, 1, 2]",55,156.6608715057373
case54,4,0.7230936597751667,2.196637143353279,5,"[2, 4, 1, 3]",20,1.1762588024139404
case55,1,0.30080677732342864,1.9273103623922667,5,[3],5,0.015002965927124023
case56,15,2.543658196919669,3.3351772473898245,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1, 3]",75,56.88656544685364
case57,15,2.5391401063169643,2.6769751668826967,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,35.12488627433777
case58,3,0.4504774636037652,3.387473102852288,5,"[1, 3, 3]",15,1.1602563858032227
case59,15,2.5316766249437785,6.124067612106555,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",75,30.36770725250244
case60,13,2.021689202708928,2.054969210379543,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1]",65,117.69047784805298
case61,1,0.29376301801596566,0.2309768326083511,5,[1],5,0.012995243072509766
case62,0,0.1484146952569559,2.449438963715648,5,[],0,0.0020003318786621094
case63,2,0.3974396325122336,3.6951358201655946,5,"[3, 2]",10,0.6661396026611328
case64,9,1.2321861728146624,2.8529211412893307,5,"[2, 4, 1, 1, 3, 2, 4, 3, 3]",45,61.62786650657654
case65,19,3.0946380535395233,2.3722964446138546,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4]",95,317.05877232551575
case66,9,1.359384204450937,5.82682706901236,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4]",45,36.69852042198181
case67,10,1.5101885353278994,0.9861901571523994,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1]",50,40.07978415489197
case68,15,2.4937660271687005,3.2159345207446806,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,35.35830807685852
case69,9,1.306165442874741,0.04724347086022565,5,"[1, 3, 2, 4, 1, 3, 3, 2, 4]",45,43.02850294113159
case70,12,1.8975400943625162,4.349246509012908,5,"[1, 3, 2, 4, 4, 1, 3, 2, 4, 1, 3, 2]",60,116.64718914031982
case71,0,0.07634619346625146,2.2652236582177854,5,[],0,0.003000020980834961
case72,13,2.25534678386082,3.495074672604435,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",65,13.544992208480835
case73,17,2.8141006165937243,5.813704344296156,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4]",85,121.74250102043152
case74,0,0.14247966061040018,4.14325943255238,5,[],0,0.0020008087158203125
case75,19,3.0376734871950353,5.939750434766857,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3, 3, 2, 4]",95,326.88194251060486
case76,1,0.22277467173000617,0.5446820509837385,5,[1],5,0.15403437614440918
case77,9,1.5858520830055456,0.41090370627753453,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1]",45,3.610797166824341
case78,15,2.5225027557202897,6.034351010829751,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",75,30.33269953727722
case79,2,0.36242807914261443,1.853823750255279,5,"[1, 3]",10,0.6191360950469971
case80,14,2.4134306579316376,1.9920749176733095,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",70,41.90925669670105
case81,1,0.2081457500503225,3.656955998652717,5,[2],5,0.1560347080230713
case82,5,0.7474676176347373,2.673658957888991,5,"[2, 4, 4, 1, 3]",25,6.089461326599121
case83,11,1.8902078296313913,3.3035451537112417,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",55,7.218594312667847
case84,18,3.0125516610330667,4.8575379828803715,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,189.4407799243927
case85,3,0.5893599209155124,1.839925814388111,5,"[4, 1, 1]",15,1.4053101539611816
case86,7,1.1873630805555522,0.4262001975078829,5,"[2, 4, 1, 3, 2, 4, 4]",35,2.7596092224121094
case87,14,2.334216415017691,1.2060658010659158,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3]",70,26.309186935424805
case88,16,2.743220669815519,4.8309467225972575,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2]",80,69.06965851783752
case89,15,2.417286974785122,5.4963277137379425,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2]",75,135.79628229141235
case90,4,0.6739466391472135,2.7397741734570813,5,"[2, 4, 3, 3]",20,2.4675443172454834
case91,0,0.16777620713188596,1.9848879769323986,5,[],0,0.002007722854614258
case92,16,2.4397035134640976,4.035504816741662,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",80,272.77936339378357
case93,19,3.038709429265744,2.973566935781212,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1, 2, 2, 4, 3, 3]",95,322.00549125671387
case94,9,1.7080241927520776,3.6472347246547807,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.226712703704834
case95,15,2.6472675409879405,0.056457601191616816,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4]",75,36.07125902175903
case96,2,0.4301926603398778,4.707715881396598,5,"[2, 2]",10,0.8391859531402588
case97,14,2.2936785387541354,0.8887440966206746,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,90.29336166381836
case98,13,2.377170839960245,3.097662937393191,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",65,9.720518112182617
case99,12,1.8704084270737114,1.0378004076874103,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,119.71355175971985
case100,9,1.5910239971900098,3.648543275046485,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.4741313457489014
case101,14,2.4791254367594813,1.4569962434021824,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3]",70,19.708709239959717
case102,14,2.440796719982521,4.399815241505983,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",70,23.692232847213745
case103,17,2.877164430823717,2.5675480363266034,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2]",85,178.93952465057373
case104,10,1.389072509551443,4.696713856983969,5,"[2, 4, 1, 3, 3, 2, 1, 1, 2, 2]",50,82.16154313087463
case105,11,1.7273438615124803,5.853361712223188,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4]",55,98.53408217430115
case106,6,0.7377881013739347,3.0246507883838136,5,"[3, 2, 4, 4, 1, 0]",30,9.86146593093872
case107,4,0.8734098773174681,3.669550686086005,5,"[4, 1, 3, 2]",20,1.1112451553344727
case108,18,2.9179712259266712,4.5207978872585635,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,184.30255603790283
case109,18,2.7595585754072967,4.022659963517041,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3, 2, 2]",90,385.514372587204
case110,2,0.38026878174426443,2.177916425734582,5,"[1, 3]",10,0.6461424827575684
case111,10,1.3510585978863532,4.811166374532788,5,"[2, 4, 1, 3, 2, 2, 4, 3, 2, 0]",50,87.70650458335876
case112,3,0.45411413769749026,5.923247030216311,5,"[3, 2, 1]",15,1.7723941802978516
case113,3,0.6783241052303601,0.5906066078733663,5,"[2, 4, 1]",15,0.4010884761810303
case114,1,0.21494434070644047,4.539179204648095,5,[2],5,0.014002561569213867
case115,14,2.210095153123253,3.761754603926694,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",70,114.89080619812012
case116,11,1.3373419320966653,3.2288549478225272,5,"[1, 3, 3, 4, 1, 3, 2, 4, 4, 3, 1]",55,187.21582531929016
case117,14,2.3217701773544346,0.6528399144794015,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,43.679797887802124
case118,14,2.2236736115549176,0.602272427665071,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,81.65505242347717
case119,18,3.0086430002860385,1.946035889638568,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 1, 1]",90,204.83928680419922
case120,0,0.08695224235638825,0.6994734267276601,5,[],0,0.0019941329956054688
case121,10,1.4593457328127448,1.1443043895935228,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1]",50,61.20902132987976
case122,3,0.7088791524118112,3.6887593539362435,5,"[1, 3, 2]",15,0.9162099361419678
case123,7,1.076409439372669,2.852087333970909,5,"[1, 3, 2, 2, 4, 1, 3]",35,20.983638763427734
case124,8,1.4147346481969736,5.366731205209489,5,"[1, 3, 2, 4, 1, 3, 2, 4]",40,2.9066338539123535
case125,17,2.61945129827739,2.719832819042786,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",85,314.10580611228943
case126,18,2.835890477471831,3.810553618188228,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4, 3, 2, 2]",90,338.60453367233276
case127,8,1.322602637471673,1.032139898922794,5,"[2, 4, 4, 1, 3, 2, 4, 1]",40,16.620578050613403
case128,15,2.0266403488857536,6.037556145456003,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 0, 2, 4, 3]",75,389.9759159088135
case129,16,2.665549612882922,1.1607148237742688,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",80,75.7506651878357
case130,1,0.2700987325545049,3.397371975536497,5,[2],5,0.16503500938415527
case131,14,2.148741244460509,3.620116320995106,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",70,140.75366735458374
case132,14,1.9312678117451394,1.3240045047419207,5,"[1, 3, 2, 4, 4, 3, 3, 4, 1, 1, 3, 4, 1, 1]",70,311.58648896217346
case133,6,0.9626588644632109,0.9487330608877875,5,"[1, 3, 3, 2, 4, 1]",30,9.593189001083374
