Case,gate length,Theta,Phi,dt,DL combination,DL fidelity,DL real time,DL computing time,A* combination,A* fidelity,A* real time,A* computing time,Total combination,Total fidelity,Total real time,Total computing time
case0,1,2.3767638443047194,2.143035163640519,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.99726,91.0,0.39132,[-1],0.12894514619178812,1.3,1.9084606170654297,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.99726,91.0,2.2997806170654296
case1,1,1.2404189277096391,4.057857945078966,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.98423,91.0,0.06447,[-1],0.6367380052800498,1.3,0.5160706043243408,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.98423,91.0,0.5805406043243408
case2,1,2.611981010026818,2.5920795183854004,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.98394,91.0,0.06758,[-1],0.04238851390506424,1.3,2.367483615875244,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.98394,91.0,2.435063615875244
case3,1,2.557083572950808,3.359398745693957,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",0.99525,91.0,0.06762,[-1],0.040590300572971354,1.3,1.6344480514526367,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",0.99525,91.0,1.7020680514526367
case4,1,0.6737667039753198,4.998533399949195,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 1, 3, 3, 2, 4, 4]",0.99425,91.0,0.06751,[-1],0.8595176407007105,1.3,0.748957633972168,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 1, 3, 3, 2, 4, 4]",0.99425,91.0,0.8164676339721679
case5,1,0.5462927217455832,0.3026034342090013,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 4, 1]",0.99718,91.0,0.07049,[-1],0.9521348279640154,1.3,1.1381464004516602,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 4, 1]",0.99718,91.0,1.20863640045166
case6,1,2.6003614251078737,1.948673968242576,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.99416,91.0,0.05424,[-1],0.06986473133100637,1.3,1.1673922538757324,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.99416,91.0,1.2216322538757325
case7,1,1.2297408680551685,0.2959358676493376,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.99389,91.0,0.06241,[-1],0.5710064986031693,1.3,1.4159440994262695,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.99389,91.0,1.4783540994262696
case8,1,3.132951986349706,3.438505533820124,2.6,"[0, 0, 0, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3]",0.99,91.0,0.06163,[-1],0.0005911670838727565,1.3,0.5882172584533691,"[0, 0, 0, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3]",0.99,91.0,0.6498472584533691
case9,1,2.645148708644692,2.4819075676974527,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.99058,91.0,0.06274,[-1],0.03832005223809689,1.3,0.977881669998169,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.99058,91.0,1.040621669998169
