Case,gate length,Theta,Phi,dt,DL combination,DL fidelity,DL real time,DL computing time
case1,35,0.2687003309619101,3.2377303805290167,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2],0.98206,91.0,0.3968
case2,35,3.070355517631929,0.08905780111269707,2.6,[0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 1 1 1 3 3 3 2 2],0.00127,91.0,0.10612
case3,35,2.9952784270196164,1.6535493162768264,2.6,[0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 2 4 4],0.00534,91.0,0.06921
case4,35,2.644021915735334,3.097321585810205,2.6,[0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2],0.06063,91.0,0.06339
case5,35,1.5482490152060868,1.108753077060868,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 1 3 3 3 3 2 2 4 4 1 1],0.51127,91.0,0.0562
case6,35,2.2581233913191925,6.004766939365644,2.6,[0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4],0.18276,91.0,0.05747
case7,35,1.7779755914967532,1.3631525615302458,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3],0.39715,91.0,0.04993
case8,35,0.568998111594041,5.8307156529289035,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 4],0.92122,91.0,0.05932
case9,35,0.7917562198775148,3.704958233285679,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 1 3 3 0 3],0.8513,91.0,0.07952
case10,35,1.239651055085576,1.5059873394113208,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 3],0.66256,91.0,0.07645
case11,35,1.5540307272833365,0.8516025296977213,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 4],0.50838,91.0,0.06009
case12,35,0.12125474578766343,3.7138977631421244,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99633,91.0,0.06305
case13,35,2.4850231441878163,3.124307412658786,2.6,[0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2],0.10395,91.0,0.06708
case14,35,2.928096228441371,4.651883507099176,2.6,[0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 1 3 3],0.01135,91.0,0.05676
case15,35,1.2344286604326444,4.512739740768456,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 1 3 3 2 2 4],0.66503,91.0,0.0526
case16,35,1.3949530652755628,5.926343387988423,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 2 2 1],0.58747,91.0,0.05543
case17,35,0.27217680532131755,2.0295088005825908,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],0.98159,91.0,0.0613
case18,35,1.9683969983317664,3.1974152825312645,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2],0.3064,91.0,0.05678
case19,35,0.7530089964737606,2.690404510457015,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 3 2 2],0.86482,91.0,0.05111
case20,35,1.0880972105995776,4.699979313270026,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 2 2 4],0.73209,91.0,0.05411
case21,35,1.5175114392739937,0.10119435090867338,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 2 0 4],0.52663,91.0,0.05611
case22,35,0.8037461290492274,5.953224389196855,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 4 4 1],0.84701,91.0,0.05565
case23,35,1.2280844391957875,1.577733727178847,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 3],0.66802,91.0,0.06353
case24,35,1.6483558284751731,2.1364156086155983,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3],0.46126,91.0,0.06
case25,35,0.17402681247885862,3.8145569901286884,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99245,91.0,0.06583
case26,35,3.056737153876004,2.118181834850643,2.6,[0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 1],0.0018,91.0,0.06252
case27,35,1.5340235655929966,4.603222046097894,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 3 2],0.51838,91.0,0.05475
case28,35,0.37112767132924046,5.693480764907668,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4],0.96596,91.0,0.09604
case29,35,1.0728751884141086,6.239891588713297,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1],0.7388,91.0,0.05166
case30,35,0.15410606955873846,3.540704452514377,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99407,91.0,0.05554
case31,35,2.816452218956255,5.479771237474985,2.6,[0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 3 3 2],0.0262,91.0,0.05232
case32,35,0.6455891709888051,0.20292628813129363,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 2 4 4 1],0.89937,91.0,0.05585
case33,35,0.8006839134675973,4.5499723952955495,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 3 3 2],0.84811,91.0,0.05747
case34,35,2.635992017332523,2.8170951420880175,2.6,[0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2],0.06256,91.0,0.05448
case35,35,0.1696896807697153,5.78225335774008,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99282,91.0,0.05441
case36,35,2.6921011736535205,3.303119081107613,2.6,[0 0 0 0 0 0 4 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 3],0.04967,91.0,0.05348
case37,35,0.9371506626814069,5.133207427437064,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 3 2 2 2],0.79604,91.0,0.05311
case38,35,2.345179515026107,1.7908638440639226,2.6,[0 0 0 0 0 0 0 0 0 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 1 1],0.15036,91.0,0.05473
case39,35,1.0115708475713914,5.275088494089272,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4],0.76526,91.0,0.05153
