Case,gate length,Theta,Phi,dt,DL combination,DL fidelity,DL real time,DL computing time
case1,35,0.814409711873177,5.981419428518213,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 4 4 1],0.99126,91.0,0.3164
case2,35,0.2584852202843946,2.3728296401808766,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],0.99276,91.0,0.07999
case3,35,0.7936943997860327,4.579944260948038,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 2 4 4],0.99124,91.0,0.05524
case4,35,1.5927570993590972,2.8851687890000934,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 0 3],0.99156,91.0,0.05372
case5,35,2.9514598832934986,5.193444788464327,2.6,[0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 3 2],0.99186,91.0,0.05072
case6,35,0.9772181620598256,5.242487843674408,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 2 2 2 4],0.99863,91.0,0.04787
case7,35,2.3093222673013,0.7235939086693053,2.6,[0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 3],0.99988,91.0,0.05028
case8,35,0.40748913334324227,3.5908369112845193,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2],0.99336,91.0,0.05671
case9,35,3.1078680625955726,2.321060989158142,2.6,[0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 1],0.9903,91.0,0.05865
case10,35,1.7819381225690842,4.010262851126614,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2],0.99437,91.0,0.0512
case11,35,1.6096233382724094,5.371356741436921,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 1],0.99809,91.0,0.0542
case12,35,1.0637274581699259,1.881771065068656,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 3 2 2 4 4 1 1 3],0.99487,91.0,0.05453
case13,35,3.031137685110045,2.318332887182119,2.6,[0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 4 1],0.98455,91.0,0.05249
case14,35,0.5276395004221129,4.989749441563409,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4],0.99027,91.0,0.04971
case15,35,1.666111414324957,1.0876813837602923,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 2 2 2 4 1 1 3 3 3 2 2 4 4 1 1],0.99769,91.0,0.06723
case16,35,1.0968186438631156,5.63292120812007,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4],0.98958,91.0,0.05635
case17,35,1.9589204176206991,6.107718817204195,2.6,[0 0 0 0 0 0 0 0 0 4 1 1 0 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1],0.96628,91.0,0.05652
case18,35,1.2863664820441527,1.3217078130695097,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 2 4 4 1 1 3 3 2 2 4 4 1 1 3],0.98682,91.0,0.06168
